broker_name	PRIMARY_ID	EXTERNAL_ID	SUBMITTER_ID	TITLE	TAXON_ID	SCIENTIFIC_NAME	ENA-SUBMISSION	ENA-FASTQ-FILES	ENA-SUBMITTED-FILES	source_name	tissue	treatment	ENA-FIRST-PUBLIC	ENA-LAST-UPDATE	COMMON_NAME
NCBI	SRS15297815	SAMN31117577	GSM6612377	473_pustule	730	[Haemophilus] ducreyi	SRA1510997	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS15297815&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS15297815&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	skin	skin	pustule	2022-11-24	2022-11-24	
NCBI	SRS15297814	SAMN31117578	GSM6612376	473_wound	9606	Homo sapiens	SRA1510997	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS15297814&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS15297814&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	skin	skin	wound	2022-11-24	2022-11-24	human
NCBI	SRS15297813	SAMN31117579	GSM6612375	Group_2_inoculum	730	[Haemophilus] ducreyi	SRA1510997	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS15297813&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS15297813&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	culture	culture	culture	2022-11-24	2022-11-24	
NCBI	SRS15297812	SAMN31117580	GSM6612374	471_pustule	730	[Haemophilus] ducreyi	SRA1510997	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS15297812&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS15297812&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	skin	skin	pustule	2022-11-24	2022-11-24	
NCBI	SRS15297811	SAMN31117581	GSM6612373	471_wound	9606	Homo sapiens	SRA1510997	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS15297811&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS15297811&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	skin	skin	wound	2022-11-24	2022-11-24	human
NCBI	SRS15297810	SAMN31117582	GSM6612372	470_pustule	730	[Haemophilus] ducreyi	SRA1510997	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS15297810&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS15297810&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	skin	skin	pustule	2022-11-24	2022-11-24	
NCBI	SRS15297809	SAMN31117583	GSM6612371	470_wound	9606	Homo sapiens	SRA1510997	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS15297809&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS15297809&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	skin	skin	wound	2022-11-24	2022-11-24	human
NCBI	SRS15297808	SAMN31117584	GSM6612370	469_pustule	730	[Haemophilus] ducreyi	SRA1510997	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS15297808&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS15297808&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	skin	skin	pustule	2022-11-24	2022-11-24	
NCBI	SRS15297807	SAMN31117585	GSM6612369	469_wound	9606	Homo sapiens	SRA1510997	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS15297807&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS15297807&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	skin	skin	wound	2022-11-24	2022-11-24	human
NCBI	SRS15297806	SAMN31117586	GSM6612368	Group_1_inoculum	730	[Haemophilus] ducreyi	SRA1510997	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS15297806&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS15297806&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	culture	culture	culture	2022-11-24	2022-11-24	
