center_name	PRIMARY_ID	EXTERNAL_ID	SUBMITTER_ID	TITLE	TAXON_ID	SCIENTIFIC_NAME	ENA-STUDY	ENA-EXPERIMENT	ENA-RUN	ENA-SUBMISSION	ENA-FASTQ-FILES	ENA-SUBMITTED-FILES	collection date	environment (biome)	environment (feature)	environment (material)	geographic location (country and/or sea)	geographic location (latitude)	geographic location (longitude)	host-associated environmental package	investigation type	project name	sequencing method	ENA-CHECKLIST	ENA-SPOT-COUNT	ENA-BASE-COUNT	ENA-FIRST-PUBLIC	ENA-LAST-UPDATE
Key Laboratory of Environmental and Applied Microbiology, CAS	ERS3325602	SAMEA5523519	HS11	skin_elevation	749906	gut metagenome	ERP114401	ERX3264725	ERR3237347	ERA1777984	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS3325602&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS3325602&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	2016	human	skin	skin	China	100.7509	35.5843	host-associated	mimarks-survey	human_elevation	HiSeq	ERC000013	93984	39960726	2019-12-30	2019-03-21
Key Laboratory of Environmental and Applied Microbiology, CAS	ERS3325603	SAMEA5523520	HS12	skin_elevation	749906	gut metagenome	ERP114401	ERX3264726	ERR3237348	ERA1777984	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS3325603&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS3325603&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	2016	human	skin	skin	China	100.7509	35.5843	host-associated	mimarks-survey	human_elevation	HiSeq	ERC000013	78167	33226659	2019-12-30	2019-03-21
Key Laboratory of Environmental and Applied Microbiology, CAS	ERS3325604	SAMEA5523521	HS13	skin_elevation	749906	gut metagenome	ERP114401	ERX3264727	ERR3237349	ERA1777984	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS3325604&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS3325604&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	2016	human	skin	skin	China	100.7509	35.5843	host-associated	mimarks-survey	human_elevation	HiSeq	ERC000013	89114	37805306	2019-12-30	2019-03-21
Key Laboratory of Environmental and Applied Microbiology, CAS	ERS3325605	SAMEA5523522	HS14	skin_elevation	749906	gut metagenome	ERP114401	ERX3264728	ERR3237350	ERA1777984	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS3325605&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS3325605&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	2016	human	skin	skin	China	100.7509	35.5843	host-associated	mimarks-survey	human_elevation	HiSeq	ERC000013	102492	43457907	2019-12-30	2019-03-21
Key Laboratory of Environmental and Applied Microbiology, CAS	ERS3325606	SAMEA5523523	HS15	skin_elevation	749906	gut metagenome	ERP114401	ERX3264729	ERR3237351	ERA1777984	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS3325606&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS3325606&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	2016	human	skin	skin	China	100.7509	35.5843	host-associated	mimarks-survey	human_elevation	HiSeq	ERC000013	136613	58027578	2019-12-30	2019-03-21
Key Laboratory of Environmental and Applied Microbiology, CAS	ERS3325607	SAMEA5523524	HS16	skin_elevation	749906	gut metagenome	ERP114401	ERX3264730	ERR3237352	ERA1777984	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS3325607&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS3325607&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	2016	human	skin	skin	China	100.736	35.159	host-associated	mimarks-survey	human_elevation	HiSeq	ERC000013	122228	51963575	2019-12-30	2019-03-21
Key Laboratory of Environmental and Applied Microbiology, CAS	ERS3325608	SAMEA5523525	HS17	skin_elevation	749906	gut metagenome	ERP114401	ERX3264731	ERR3237353	ERA1777984	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS3325608&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS3325608&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	2016	human	skin	skin	China	100.736	35.159	host-associated	mimarks-survey	human_elevation	HiSeq	ERC000013	91841	39041674	2019-12-30	2019-03-21
Key Laboratory of Environmental and Applied Microbiology, CAS	ERS3325609	SAMEA5523526	HS18	skin_elevation	749906	gut metagenome	ERP114401	ERX3264732	ERR3237354	ERA1777984	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS3325609&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS3325609&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	2016	human	skin	skin	China	100.736	35.159	host-associated	mimarks-survey	human_elevation	HiSeq	ERC000013	50741	21576580	2019-12-30	2019-03-21
Key Laboratory of Environmental and Applied Microbiology, CAS	ERS3325610	SAMEA5523527	HS19	skin_elevation	749906	gut metagenome	ERP114401	ERX3264733	ERR3237355	ERA1777984	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS3325610&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS3325610&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	2016	human	skin	skin	China	100.736	35.159	host-associated	mimarks-survey	human_elevation	HiSeq	ERC000013	60277	25630949	2019-12-30	2019-03-21
Key Laboratory of Environmental and Applied Microbiology, CAS	ERS3325611	SAMEA5523528	HS20	skin_elevation	749906	gut metagenome	ERP114401	ERX3264734	ERR3237356	ERA1777984	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS3325611&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS3325611&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	2016	human	skin	skin	China	100.736	35.159	host-associated	mimarks-survey	human_elevation	HiSeq	ERC000013	67660	28774354	2019-12-30	2019-03-21
Key Laboratory of Environmental and Applied Microbiology, CAS	ERS3325612	SAMEA5523529	HS21	skin_elevation	749906	gut metagenome	ERP114401	ERX3264735	ERR3237357	ERA1777984	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS3325612&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS3325612&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	2016	human	skin	skin	China	100.736	35.159	host-associated	mimarks-survey	human_elevation	HiSeq	ERC000013	77584	33001554	2019-12-30	2019-03-21
Key Laboratory of Environmental and Applied Microbiology, CAS	ERS3325613	SAMEA5523530	HS22	skin_elevation	749906	gut metagenome	ERP114401	ERX3264736	ERR3237358	ERA1777984	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS3325613&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS3325613&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	2016	human	skin	skin	China	100.736	35.159	host-associated	mimarks-survey	human_elevation	HiSeq	ERC000013	83431	35441419	2019-12-30	2019-03-21
Key Laboratory of Environmental and Applied Microbiology, CAS	ERS3325614	SAMEA5523531	HS23	skin_elevation	749906	gut metagenome	ERP114401	ERX3264737	ERR3237359	ERA1777984	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS3325614&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS3325614&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	2016	human	skin	skin	China	100.736	35.159	host-associated	mimarks-survey	human_elevation	HiSeq	ERC000013	81750	34752395	2019-12-30	2019-03-21
Key Laboratory of Environmental and Applied Microbiology, CAS	ERS3325615	SAMEA5523532	HS24	skin_elevation	749906	gut metagenome	ERP114401	ERX3264738	ERR3237360	ERA1777984	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS3325615&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS3325615&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	2016	human	skin	skin	China	100.736	35.159	host-associated	mimarks-survey	human_elevation	HiSeq	ERC000013	80179	34099726	2019-12-30	2019-03-21
Key Laboratory of Environmental and Applied Microbiology, CAS	ERS3325616	SAMEA5523533	HS25	skin_elevation	749906	gut metagenome	ERP114401	ERX3264739	ERR3237361	ERA1777984	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS3325616&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS3325616&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	2016	human	skin	skin	China	100.736	35.159	host-associated	mimarks-survey	human_elevation	HiSeq	ERC000013	80677	34289320	2019-12-30	2019-03-21
Key Laboratory of Environmental and Applied Microbiology, CAS	ERS3325617	SAMEA5523534	HS26	skin_elevation	749906	gut metagenome	ERP114401	ERX3264740	ERR3237362	ERA1777984	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS3325617&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS3325617&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	2016	human	skin	skin	China	100.736	35.159	host-associated	mimarks-survey	human_elevation	HiSeq	ERC000013	70821	30117785	2019-12-30	2019-03-21
Key Laboratory of Environmental and Applied Microbiology, CAS	ERS3325618	SAMEA5523535	HS27	skin_elevation	749906	gut metagenome	ERP114401	ERX3264741	ERR3237363	ERA1777984	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS3325618&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS3325618&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	2016	human	skin	skin	China	100.736	35.159	host-associated	mimarks-survey	human_elevation	HiSeq	ERC000013	86629	36800305	2019-12-30	2019-03-21
Key Laboratory of Environmental and Applied Microbiology, CAS	ERS3325619	SAMEA5523536	HS28	skin_elevation	749906	gut metagenome	ERP114401	ERX3264742	ERR3237364	ERA1777984	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS3325619&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS3325619&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	2016	human	skin	skin	China	100.736	35.159	host-associated	mimarks-survey	human_elevation	HiSeq	ERC000013	33566	14262561	2019-12-30	2019-03-21
Key Laboratory of Environmental and Applied Microbiology, CAS	ERS3325620	SAMEA5523537	HS29	skin_elevation	749906	gut metagenome	ERP114401	ERX3264743	ERR3237365	ERA1777984	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS3325620&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS3325620&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	2016	human	skin	skin	China	100.736	35.159	host-associated	mimarks-survey	human_elevation	HiSeq	ERC000013	107714	45802632	2019-12-30	2019-03-21
Key Laboratory of Environmental and Applied Microbiology, CAS	ERS3325621	SAMEA5523538	HS30	skin_elevation	749906	gut metagenome	ERP114401	ERX3264744	ERR3237366	ERA1777984	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS3325621&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS3325621&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	2016	human	skin	skin	China	100.736	35.159	host-associated	mimarks-survey	human_elevation	HiSeq	ERC000013	91444	38884673	2019-12-30	2019-03-21
Key Laboratory of Environmental and Applied Microbiology, CAS	ERS3325622	SAMEA5523539	HS31	skin_elevation	749906	gut metagenome	ERP114401	ERX3264745	ERR3237367	ERA1777984	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS3325622&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS3325622&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	2016	human	skin	skin	China	101.6092	36.4549	host-associated	mimarks-survey	human_elevation	HiSeq	ERC000013	69397	29524462	2019-12-30	2019-03-21
Key Laboratory of Environmental and Applied Microbiology, CAS	ERS3325623	SAMEA5523540	HS32	skin_elevation	749906	gut metagenome	ERP114401	ERX3264746	ERR3237368	ERA1777984	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS3325623&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS3325623&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	2016	human	skin	skin	China	101.6092	36.4549	host-associated	mimarks-survey	human_elevation	HiSeq	ERC000013	45649	19405310	2019-12-30	2019-03-21
Key Laboratory of Environmental and Applied Microbiology, CAS	ERS3325624	SAMEA5523541	HS33	skin_elevation	749906	gut metagenome	ERP114401	ERX3264747	ERR3237369	ERA1777984	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS3325624&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS3325624&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	2016	human	skin	skin	China	101.6092	36.4549	host-associated	mimarks-survey	human_elevation	HiSeq	ERC000013	51890	22069679	2019-12-30	2019-03-21
Key Laboratory of Environmental and Applied Microbiology, CAS	ERS3325625	SAMEA5523542	HS34	skin_elevation	749906	gut metagenome	ERP114401	ERX3264748	ERR3237370	ERA1777984	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS3325625&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS3325625&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	2016	human	skin	skin	China	101.6092	36.4549	host-associated	mimarks-survey	human_elevation	HiSeq	ERC000013	75800	32217273	2019-12-30	2019-03-21
Key Laboratory of Environmental and Applied Microbiology, CAS	ERS3325626	SAMEA5523543	HS35	skin_elevation	749906	gut metagenome	ERP114401	ERX3264749	ERR3237371	ERA1777984	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS3325626&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS3325626&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	2016	human	skin	skin	China	101.6092	36.4549	host-associated	mimarks-survey	human_elevation	HiSeq	ERC000013	75980	32283411	2019-12-30	2019-03-21
Key Laboratory of Environmental and Applied Microbiology, CAS	ERS3325627	SAMEA5523544	HS36	skin_elevation	749906	gut metagenome	ERP114401	ERX3264750	ERR3237372	ERA1777984	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS3325627&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS3325627&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	2016	human	skin	skin	China	101.6092	36.4549	host-associated	mimarks-survey	human_elevation	HiSeq	ERC000013	61471	26119340	2019-12-30	2019-03-21
Key Laboratory of Environmental and Applied Microbiology, CAS	ERS3325628	SAMEA5523545	HS37	skin_elevation	749906	gut metagenome	ERP114401	ERX3264751	ERR3237373	ERA1777984	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS3325628&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS3325628&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	2016	human	skin	skin	China	101.6092	36.4549	host-associated	mimarks-survey	human_elevation	HiSeq	ERC000013	98624	41875621	2019-12-30	2019-03-21
Key Laboratory of Environmental and Applied Microbiology, CAS	ERS3325629	SAMEA5523546	HS38	skin_elevation	749906	gut metagenome	ERP114401	ERX3264752	ERR3237374	ERA1777984	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS3325629&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS3325629&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	2016	human	skin	skin	China	101.6092	36.4549	host-associated	mimarks-survey	human_elevation	HiSeq	ERC000013	103574	43973852	2019-12-30	2019-03-21
Key Laboratory of Environmental and Applied Microbiology, CAS	ERS3325630	SAMEA5523547	HS39	skin_elevation	749906	gut metagenome	ERP114401	ERX3264753	ERR3237375	ERA1777984	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS3325630&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS3325630&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	2016	human	skin	skin	China	101.6092	36.4549	host-associated	mimarks-survey	human_elevation	HiSeq	ERC000013	85237	36179404	2019-12-30	2019-03-21
Key Laboratory of Environmental and Applied Microbiology, CAS	ERS3325631	SAMEA5523548	HS40	skin_elevation	749906	gut metagenome	ERP114401	ERX3264754	ERR3237376	ERA1777984	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS3325631&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS3325631&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	2016	human	skin	skin	China	101.6092	36.4549	host-associated	mimarks-survey	human_elevation	HiSeq	ERC000013	73475	31235149	2019-12-30	2019-03-21
Key Laboratory of Environmental and Applied Microbiology, CAS	ERS3325632	SAMEA5523549	HS41	skin_elevation	749906	gut metagenome	ERP114401	ERX3264755	ERR3237377	ERA1777984	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS3325632&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS3325632&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	2016	human	skin	skin	China	101.6092	36.4549	host-associated	mimarks-survey	human_elevation	HiSeq	ERC000013	98285	41787875	2019-12-30	2019-03-21
Key Laboratory of Environmental and Applied Microbiology, CAS	ERS3325633	SAMEA5523550	HS42	skin_elevation	749906	gut metagenome	ERP114401	ERX3264756	ERR3237378	ERA1777984	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS3325633&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS3325633&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	2016	human	skin	skin	China	101.6092	36.4549	host-associated	mimarks-survey	human_elevation	HiSeq	ERC000013	80116	34012940	2019-12-30	2019-03-21
