broker_name	center_name	PRIMARY_ID	EXTERNAL_ID	SUBMITTER_ID	TITLE	TAXON_ID	SCIENTIFIC_NAME	DESCRIPTION	ENA-STUDY	ENA-EXPERIMENT	ENA-RUN	ENA-SUBMISSION	ENA-FASTQ-FILES	ENA-SUBMITTED-FILES	host	isolation_source	collection_date	geo_loc_name	lat_lon	patient_sample	BioSampleModel	ENA-SPOT-COUNT	ENA-BASE-COUNT	ENA-FIRST-PUBLIC	ENA-LAST-UPDATE
NCBI	pda|bigdoyle	SRS4594114	SAMN11352297	DS2016023	patient4-S2	2034148	canine metagenome	patient4-S2	SRP191145	SRX5648741	SRR8861259	SRA870175	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4594114&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4594114&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	Canis lupus familiaris	feces	2016-07-02	USA: Massachusetts	not applicable	patient4-S2	Metagenome or environmental	2467308	671021036	2020-05-05	2020-05-05
NCBI	pda|bigdoyle	SRS4594126	SAMN11352298	DS2016024	patient4-S3	2034148	canine metagenome	patient4-S3	SRP191145	SRX5648753	SRR8861247	SRA870175	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4594126&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4594126&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	Canis lupus familiaris	feces	2016-07-03	USA: Massachusetts	not applicable	patient4-S3	Metagenome or environmental	2163907	561977717	2020-05-05	2020-05-05
NCBI	pda|bigdoyle	SRS4594125	SAMN11352299	DS2016025	patient4-S4	2034148	canine metagenome	patient4-S4	SRP191145	SRX5648752	SRR8861248	SRA870175	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4594125&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4594125&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	Canis lupus familiaris	feces	2016-07-04	USA: Massachusetts	not applicable	patient4-S4	Metagenome or environmental	2880353	788787895	2020-05-05	2020-05-05
NCBI	pda|bigdoyle	SRS4594124	SAMN11352300	DS2016026	patient4-S5	2034148	canine metagenome	patient4-S5	SRP191145	SRX5648751	SRR8861249	SRA870175	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4594124&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4594124&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	Canis lupus familiaris	feces	2016-07-04	USA: Massachusetts	not applicable	patient4-S5	Metagenome or environmental	2636632	684288379	2020-05-05	2020-05-05
NCBI	pda|bigdoyle	SRS4594123	SAMN11352301	DS2016027	patient4-S6	2034148	canine metagenome	patient4-S6	SRP191145	SRX5648750	SRR8861250	SRA870175	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4594123&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4594123&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	Canis lupus familiaris	feces	2016-07-05	USA: Massachusetts	not applicable	patient4-S6	Metagenome or environmental	1905660	522663472	2020-05-05	2020-05-05
NCBI	pda|bigdoyle	SRS4594122	SAMN11352302	DS2016028	patient4-S7	2034148	canine metagenome	patient4-S7	SRP191145	SRX5648749	SRR8861251	SRA870175	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4594122&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4594122&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	Canis lupus familiaris	feces	2016-07-06	USA: Massachusetts	not applicable	patient4-S7	Metagenome or environmental	2910274	739349803	2020-05-05	2020-05-05
NCBI	pda|bigdoyle	SRS4594121	SAMN11352303	DS2016029	patient5-S1	2034148	canine metagenome	patient5-S1	SRP191145	SRX5648748	SRR8861252	SRA870175	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4594121&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4594121&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	Canis lupus familiaris	feces	2016-07-13	USA: Massachusetts	not applicable	patient5-S1	Metagenome or environmental	3189890	700413936	2020-05-05	2020-05-05
NCBI	pda|bigdoyle	SRS4594120	SAMN11352304	DS2016030	patient5-S2	2034148	canine metagenome	patient5-S2	SRP191145	SRX5648747	SRR8861253	SRA870175	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4594120&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4594120&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	Canis lupus familiaris	feces	2016-07-14	USA: Massachusetts	not applicable	patient5-S2	Metagenome or environmental	1801463	414609080	2020-05-05	2020-05-05
NCBI	pda|bigdoyle	SRS4594119	SAMN11352305	DS2016031	patient5-S3	2034148	canine metagenome	patient5-S3	SRP191145	SRX5648746	SRR8861254	SRA870175	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4594119&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4594119&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	Canis lupus familiaris	feces	2016-07-15	USA: Massachusetts	not applicable	patient5-S3	Metagenome or environmental	601606	166558635	2020-05-05	2020-05-05
NCBI	pda|bigdoyle	SRS4594118	SAMN11352306	DS2016032	patient5-S4	2034148	canine metagenome	patient5-S4	SRP191145	SRX5648745	SRR8861255	SRA870175	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4594118&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4594118&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	Canis lupus familiaris	feces	2016-07-16	USA: Massachusetts	not applicable	patient5-S4	Metagenome or environmental	1817031	478982441	2020-05-05	2020-05-05
NCBI	pda|bigdoyle	SRS4594117	SAMN11352307	DS2016033	patient5-S5	2034148	canine metagenome	patient5-S5	SRP191145	SRX5648744	SRR8861256	SRA870175	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4594117&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4594117&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	Canis lupus familiaris	feces	2016-07-17	USA: Massachusetts	not applicable	patient5-S5	Metagenome or environmental	1205273	308923001	2020-05-05	2020-05-05
NCBI	pda|bigdoyle	SRS4594129	SAMN11352308	DS2016034	patient5-S6	2034148	canine metagenome	patient5-S6	SRP191145	SRX5648756	SRR8861244	SRA870175	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4594129&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4594129&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	Canis lupus familiaris	feces	2016-07-18	USA: Massachusetts	not applicable	patient5-S6	Metagenome or environmental	1034472	256059616	2020-05-05	2020-05-05
NCBI	pda|bigdoyle	SRS4594130	SAMN11352309	DS2016035	patient6-S1	2034148	canine metagenome	patient6-S1	SRP191145	SRX5648757	SRR8861243	SRA870175	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4594130&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4594130&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	Canis lupus familiaris	feces	2016-08-11	USA: Massachusetts	not applicable	patient6-S1	Metagenome or environmental	2704059	568482403	2020-05-05	2020-05-05
NCBI	pda|bigdoyle	SRS4594131	SAMN11352310	DS2016036	patient6-S2	2034148	canine metagenome	patient6-S2	SRP191145	SRX5648758	SRR8861242	SRA870175	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4594131&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4594131&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	Canis lupus familiaris	feces	2016-08-12	USA: Massachusetts	not applicable	patient6-S2	Metagenome or environmental	3655421	718555936	2020-05-05	2020-05-05
NCBI	pda|bigdoyle	SRS4594132	SAMN11352311	DS2016037	patient6-S3	2034148	canine metagenome	patient6-S3	SRP191145	SRX5648759	SRR8861241	SRA870175	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4594132&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4594132&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	Canis lupus familiaris	feces	2016-08-13	USA: Massachusetts	not applicable	patient6-S3	Metagenome or environmental	2714563	561621438	2020-05-05	2020-05-05
NCBI	pda|bigdoyle	SRS4594133	SAMN11352312	DS2016038	patient6-S4	2034148	canine metagenome	patient6-S4	SRP191145	SRX5648760	SRR8861240	SRA870175	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4594133&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4594133&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	Canis lupus familiaris	feces	2016-08-14	USA: Massachusetts	not applicable	patient6-S4	Metagenome or environmental	3584958	775959150	2020-05-05	2020-05-05
NCBI	pda|bigdoyle	SRS4594134	SAMN11352313	DS2016039	patient6-S5	2034148	canine metagenome	patient6-S5	SRP191145	SRX5648761	SRR8861239	SRA870175	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4594134&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4594134&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	Canis lupus familiaris	feces	2016-08-14	USA: Massachusetts	not applicable	patient6-S5	Metagenome or environmental	3786231	813485281	2020-05-05	2020-05-05
NCBI	pda|bigdoyle	SRS4594135	SAMN11352314	DS2016040	patient6-S6	2034148	canine metagenome	patient6-S6	SRP191145	SRX5648762	SRR8861238	SRA870175	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4594135&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4594135&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	Canis lupus familiaris	feces	2016-08-16	USA: Massachusetts	not applicable	patient6-S6	Metagenome or environmental	3175810	678997022	2020-05-05	2020-05-05
NCBI	pda|bigdoyle	SRS4594136	SAMN11352315	DS2016041	patient6-S7	2034148	canine metagenome	patient6-S7	SRP191145	SRX5648763	SRR8861237	SRA870175	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4594136&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4594136&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	Canis lupus familiaris	feces	2016-08-16	USA: Massachusetts	not applicable	patient6-S7	Metagenome or environmental	3204793	668603392	2020-05-05	2020-05-05
NCBI	pda|bigdoyle	SRS4594127	SAMN11352316	DS2016049	patient8-S1	2034148	canine metagenome	patient8-S1	SRP191145	SRX5648754	SRR8861246	SRA870175	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4594127&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4594127&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	Canis lupus familiaris	feces	2016-10-19	USA: Massachusetts	not applicable	patient8-S1	Metagenome or environmental	4030638	868559857	2020-05-05	2020-05-05
NCBI	pda|bigdoyle	SRS4594128	SAMN11352317	DS2016050	patient8-S2	2034148	canine metagenome	patient8-S2	SRP191145	SRX5648755	SRR8861245	SRA870175	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4594128&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4594128&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	Canis lupus familiaris	feces	2016-10-21	USA: Massachusetts	not applicable	patient8-S2	Metagenome or environmental	4758694	988302438	2020-05-05	2020-05-05
NCBI	pda|bigdoyle	SRS4594144	SAMN11352318	DS2016051	patient8-S3	2034148	canine metagenome	patient8-S3	SRP191145	SRX5648771	SRR8861229	SRA870175	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4594144&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4594144&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	Canis lupus familiaris	feces	2016-10-22	USA: Massachusetts	not applicable	patient8-S3	Metagenome or environmental	3899834	843397235	2020-05-05	2020-05-05
NCBI	pda|bigdoyle	SRS4594143	SAMN11352319	DS2016052	patient8-S4	2034148	canine metagenome	patient8-S4	SRP191145	SRX5648770	SRR8861230	SRA870175	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4594143&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4594143&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	Canis lupus familiaris	feces	2016-10-24	USA: Massachusetts	not applicable	patient8-S4	Metagenome or environmental	3784948	800773296	2020-05-05	2020-05-05
NCBI	pda|bigdoyle	SRS4594146	SAMN11352320	DS2016053	patient8-S5	2034148	canine metagenome	patient8-S5	SRP191145	SRX5648773	SRR8861227	SRA870175	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4594146&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4594146&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	Canis lupus familiaris	feces	2016-10-25	USA: Massachusetts	not applicable	patient8-S5	Metagenome or environmental	2925974	626355773	2020-05-05	2020-05-05
