	project_id	queried_accession_id	id	source	pmid	pmcid	fullTextIdList	doi	title	authorString	journal_issue	journal_volume	journalIssueId	journal_dateOfPublication	journal_monthOfPublication	journal_yearOfPublication	journal_printPublicationDate	journal_title	journal_ISOAbbreviation	journal_medlineAbbreviation	journal_NLMid	journal_ISSN	journal_ESSN	pubYear	pageInfo	abstractText	affiliation	publicationStatus	language	pubModel	pubTypeList	keywordList	isOpenAccess	inEPMC	inPMC	hasPDF	hasBook	hasSuppl	citedByCount	hasData	hasReferences	hasTextMinedTerms	hasDbCrossReferences	hasLabsLinks	license	hasTMAccessionNumbers	tmAccessionTypeList	dateOfCreation	firstIndexDate	fullTextReceivedDate	dateOfRevision	electronicPublicationDate	firstPublicationDate	DOI	HTML	PDF	fulltextXML	Suppl	TGZpackage
0	PRJNA471898	30397357	30397357	MED	30397357	PMC6286253	PMC6286253	10.1038/s41591-018-0211-7	Expanded skin virome in DOCK8-deficient patients.	Tirosh O, Conlan S, Deming C, Lee-Lin SQ, Huang X, NISC Comparative Sequencing Program, Su HC, Freeman AF, Segre JA, Kong HH.	12.0	24	2758285	2018 Dec	12	2018	2018-12-01	Nature medicine	Nat Med	Nat Med	9502015	1078-8956	1546-170X	2018	1815-1821	Human microbiome studies have revealed the intricate interplay of host immunity and bacterial communities to achieve homeostatic balance. Healthy skin microbial communities are dominated by bacteria with low viral representation<sup>1-3</sup>, mainly bacteriophage. Specific eukaryotic viruses have been implicated in both common and rare skin diseases, but cataloging skin viral communities has been limited. Alterations in host immunity provide an opportunity to expand our understanding of microbial-host interactions. Primary immunodeficient patients manifest with various viral, bacterial, fungal, and parasitic infections, including skin infections<sup>4</sup>. Dedicator of cytokinesis 8 (DOCK8) deficiency is a rare primary human immunodeficiency characterized by recurrent cutaneous and systemic infections, as well as atopy and cancer susceptibility<sup>5</sup>. DOCK8, encoding a guanine nucleotide exchange factor highly expressed in lymphocytes, regulates actin cytoskeleton, which is critical for migration through collagen-dense tissues such as skin<sup>6</sup>. Analyzing deep metagenomic sequencing data from DOCK8-deficient skin samples demonstrated a notable increase in eukaryotic viral representation and diversity compared with healthy volunteers. De novo assembly approaches identified hundreds of novel human papillomavirus genomes, illuminating microbial dark matter. Expansion of the skin virome in DOCK8-deficient patients underscores the importance of immune surveillance in controlling eukaryotic viral colonization and infection.	Translational and Functional Genomics Branch, National Human Genome Research Institute, NIH, Bethesda, MD, USA.	ppublish	eng	Print-Electronic	Research Support, N.I.H., Intramural;research-article;Journal Article;Research Support, N.I.H., Extramural		Y	Y	N	Y	N	Y	51	Y	Y	Y	Y	Y		Y	nct	2018-11-07	2018-11-06	2020-07-09	2020-03-27	2018-11-05	2018-11-05	https://doi.org/10.1038/s41591-018-0211-7	https://europepmc.org/articles/PMC6286253	https://europepmc.org/articles/PMC6286253?pdf=render	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC6286253/fullTextXML	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC6286253/supplementaryFiles?includeInlineImage=yes	http://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_package/46/e0/PMC6286253.tar.gz
0	PRJNA267573	SAMN03198274	27074253	MED	27074253	PMC4830113	PMC4830113	10.1590/0074-02760150436	The microbiological signature of human cutaneous leishmaniasis lesions exhibits restricted bacterial diversity compared to healthy skin.	Salgado VR, Queiroz AT, Sanabani SS, Oliveira CI, Carvalho EM, Costa JM, Barral-Netto M, Barral A.	4.0	111	2398054	2016 Apr	4	2016	2016-04-01	Memorias do Instituto Oswaldo Cruz	Mem Inst Oswaldo Cruz	Mem Inst Oswaldo Cruz	7502619	0074-0276	1678-8060	2016	241-251	Localised cutaneous leishmaniasis (LCL) is the most common form of cutaneous leishmaniasis characterised by single or multiple painless chronic ulcers, which commonly presents with secondary bacterial infection. Previous culture-based studies have found staphylococci, streptococci, and opportunistic pathogenic bacteria in LCL lesions, but there have been no comparisons to normal skin. In addition, this approach has strong bias for determining bacterial composition. The present study tested the hypothesis that bacterial communities in LCL lesions differ from those found on healthy skin (HS). Using a high throughput amplicon sequencing approach, which allows for better populational evaluation due to greater depth coverage and the Quantitative Insights Into Microbial Ecology pipeline, we compared the microbiological signature of LCL lesions with that of contralateral HS from the same individuals.Streptococcus, Staphylococcus,Fusobacterium and other strict or facultative anaerobic bacteria composed the LCL microbiome. Aerobic and facultative anaerobic bacteria found in HS, including environmental bacteria, were significantly decreased in LCL lesions (p < 0.01). This paper presents the first comprehensive microbiome identification from LCL lesions with next generation sequence methodology and shows a marked reduction of bacterial diversity in the lesions.	Centro de Pesquisas Gonçalo Moniz, Fundação Oswaldo Cruz, Salvador, BA, Brasil.	ppublish	eng	Print	Comparative Study;research-article;Journal Article		Y	Y	N	Y	N	N	9	Y	Y	Y	N	Y	cc by	N		2016-04-14	2016-04-14	2020-07-09	2018-11-13		2016-04-01	https://doi.org/10.1590/0074-02760150436	https://europepmc.org/articles/PMC4830113	https://europepmc.org/articles/PMC4830113?pdf=render	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC4830113/fullTextXML		http://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_package/e3/9f/PMC4830113.tar.gz
0	PRJNA314604	30701193	30701193	MED	30701193	PMC6351725	PMC6351725	10.1128/msystems.00269-18	Calour: an Interactive, Microbe-Centric Analysis Tool. 	Xu ZZ, Amir A, Sanders J, Zhu Q, Morton JT, Bletz MC, Tripathi A, Huang S, McDonald D, Jiang L, Knight R.	1.0	4	2770975	2019 Jan-Feb	0	2019	2019-01-01	mSystems	mSystems	mSystems	101680636	2379-5077	2379-5077	2019	e00269-18	Microbiome analyses can be challenging because microbial strains are numerous, and often, confounding factors in the data set are also numerous. Many tools reduce, summarize, and visualize these high-dimensional data to provide insight at the community level. However, they lose the detailed information about each taxon and can be misleading (for example, the well-known horseshoe effect in ordination plots). Thus, multiple methods at different levels of resolution are required to capture the full range of microbial patterns. Here we present Calour, a user-friendly data exploration tool for microbiome analyses. Calour provides a study-centric data model to store and manipulate sample-by-feature tables (with features typically being operational taxonomic units) and their associated metadata. It generates an interactive heatmap, allowing visualization of microbial patterns and exploration using microbial knowledge databases. We demonstrate the use of Calour by exploring publicly available data sets, including the gut and skin microbiota of habitat-switched fire salamander larvae, gut microbiota of Trichuris muris-infected mice, skin microbiota of different human body sites, gut microbiota of various ant species, and a metabolome study of mice exposed to intermittent hypoxia and hypercapnia. In these cases, Calour reveals novel patterns and potential contaminants of subgroups of microbes that are otherwise hard to find. Calour is open source under the Berkeley Software Distribution (BSD) license and available from https://github.com/biocore/calour. IMPORTANCE Calour allows us to identify interesting microbial patterns and generate novel biological hypotheses by interactively inspecting microbiome studies and incorporating annotation databases and convenient statistical tools. Calour can be used as a first-step tool for microbiome data exploration.	State Key Laboratory of Food Science and Technology, Nanchang University, Nanchang, China.	epublish	eng	Electronic-eCollection	research-article;Journal Article		Y	Y	N	Y	N	N	19	Y	Y	Y	N	Y	cc by	Y	bioproject	2019-02-01	2019-02-01	2020-07-11	2020-10-01	2019-01-29	2019-01-29	https://doi.org/10.1128/mSystems.00269-18	https://europepmc.org/articles/PMC6351725	https://europepmc.org/articles/PMC6351725?pdf=render	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC6351725/fullTextXML		http://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_package/3e/23/PMC6351725.tar.gz
1	PRJNA314604	32243474	32243474	MED	32243474	PMC7122808	PMC7122808	10.1371/journal.pone.0230957	An in-depth survey of the microbial landscape of the walls of a neonatal operating room.	Derilus D, Godoy-Vitorino F, Rosado H, Agosto E, Dominguez-Bello MG, Cavallin H.	4.0	15	2930551	2020 	0	2020	2020-01-01	PloS one	PLoS One	PLoS One	101285081	1932-6203	1932-6203	2020	e0230957	Bacteria found in operating rooms (ORs) might be clinically relevant since they could pose a threat to patients. In addition, C-sections operations are performed in ORs that provide the first environment and bacterial exposure to the sterile newborns that are extracted directly from the uterus to the OR air. Considering that at least one third of neonates in the US are born via C-section delivery (and more than 50% of all deliveries in some countries), understanding the distribution of bacterial diversity in ORs is critical to better understanding the contribution of the OR microbiota to C-section- associated inflammatory diseases. Here, we mapped the bacteria contained in an OR after a procedure was performed; we sampled grids of 60x60 cm across walls and wall-adjacent floors and sequenced the V4 region of 16S rRNA gene from 260 samples. The results indicate that bacterial communities changed significantly (ANOSIM, p-value < 0.001) with wall height, with an associated reduction of alpha diversity (t-test, p-value <0.05). OR walls contained high proportions of Proteobacteria, Firmicutes, and Actinobacteria, with Proteobacteria and Bacteroidetes being the highest in floors and lowest in the highest wall sites. Members of Firmicutes, Deinococcus-thermus, and Actinobacteria increased with wall height. Source-track analysis estimate that human skin is the major source contributing to bacterial composition in the OR walls, with an increase of bacteria related to human feces in the lowest walls and airborne bacteria in the highest wall sites. The results show that bacterial exposure in ORs varies spatially, and evidence exposure of C-section born neonates to human bacteria that remain on the floors and walls, possibly accumulated from patients, health, and cleaning staff.	Department of Environmental Sciences, University of Puerto Rico, San Juan, Puerto Rico, United States of America.	epublish	eng	Electronic-eCollection	Research Support, Non-U.S. Gov't;research-article;Journal Article;Research Support, N.I.H., Extramural		Y	Y	N	Y	N	Y	1	Y	Y	Y	N	Y	cc by	Y	bioproject;gen	2020-04-04	2020-04-04	2020-07-12	2020-07-17	2020-04-03	2020-04-03	https://doi.org/10.1371/journal.pone.0230957	https://europepmc.org/articles/PMC7122808	https://europepmc.org/articles/PMC7122808?pdf=render	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC7122808/fullTextXML	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC7122808/supplementaryFiles?includeInlineImage=yes	http://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_package/1b/26/PMC7122808.tar.gz
0	PRJNA606973	PRJNA606973	33482907	MED	33482907	PMC7825201	PMC7825201	10.1186/s40168-020-00963-1	A mixed community of skin microbiome representatives influences cutaneous processes more than individual members.	Loomis KH, Wu SK, Ernlund A, Zudock K, Reno A, Blount K, Karig DK.	1.0	9	3082704	2021 Jan	1	2021	2021-01-01	Microbiome	Microbiome	Microbiome	101615147	2049-2618	2049-2618	2021	22	<h4>Background</h4>Skin, the largest organ of the human body by weight, hosts a diversity of microorganisms that can influence health. The microbial residents of the skin are now appreciated for their roles in host immune interactions, wound healing, colonization resistance, and various skin disorders. Still, much remains to be discovered in terms of the host pathways influenced by skin microorganisms, as well as the higher-level skin properties impacted through these microbe-host interactions. Towards this direction, recent efforts using mouse models point to pronounced changes in the transcriptional profiles of the skin in response to the presence of a microbial community. However, there is a need to quantify the roles of microorganisms at both the individual and community-level in healthy human skin. In this study, we utilize human skin equivalents to study the effects of individual taxa and a microbial community in a precisely controlled context. Through transcriptomics analysis, we identify key genes and pathways influenced by skin microbes, and we also characterize higher-level impacts on skin processes and properties through histological analyses.<h4>Results</h4>The presence of a microbiome on a 3D skin tissue model led to significantly altered patterns of gene expression, influencing genes involved in the regulation of apoptosis, proliferation, and the extracellular matrix (among others). Moreover, microbiome treatment influenced the thickness of the epidermal layer, reduced the number of actively proliferating cells, and increased filaggrin expression. Many of these findings were evident upon treatment with the mixed community, but either not detected or less pronounced in treatments by single microorganisms, underscoring the impact that a diverse skin microbiome has on the host.<h4>Conclusions</h4>This work contributes to the understanding of how microbiome constituents individually and collectively influence human skin processes and properties. The results show that, while it is important to understand the effect of individual microbes on the host, a full community of microbes has unique and pronounced effects on the skin. Thus, in its impacts on the host, the skin microbiome is more than the sum of its parts. Video abstract.	Research and Exploratory Development, Johns Hopkins University Applied Physics Laboratory, Laurel, MD, USA.	epublish	eng	Electronic	Video-Audio Media;research-article;Research Support, U.S. Gov't, Non-P.H.S.;Journal Article	Rna Sequencing;Human Microbiome;Skin Microbiome;Human Skin Equivalents;Host-microbiome Interaction;Cutaneous Transcriptome;Skin Proliferation	Y	Y	N	Y	N	Y	12	Y	Y	Y	N	Y	cc by	N		2021-01-23	2021-01-24	2021-01-27	2021-12-04	2021-01-22	2021-01-22	https://doi.org/10.1186/s40168-020-00963-1	https://europepmc.org/articles/PMC7825201	https://europepmc.org/articles/PMC7825201?pdf=render	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC7825201/fullTextXML	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC7825201/supplementaryFiles?includeInlineImage=yes	http://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_package/72/40/PMC7825201.tar.gz
0	PRJNA436706	34036652	34036652	MED	34036652	PMC9639216	PMC9639216	10.1111/exd.14385	Detection of viral gene expression in risk-stratified biopsies reveals no active HPV in cutaneous squamous cell carcinoma.	Vandiver AR, Thomas BJ, Karimzada M, Knowles BC, Botten GA, Spreafico R, Rotman JN, Gharavi NM, Chesnut C, Wesel K, Mangul S, Soriano T, Scumpia PO.	11.0	30	3248213	2021 Nov	11	2021	2021-11-01	Experimental dermatology	Exp Dermatol	Exp Dermatol	9301549	0906-6705	1600-0625	2021	1711-1716	<h4>Background</h4>Human papillomavirus (HPV) infection is known to promote the development of mucosal squamous cell carcinoma (mSCC), including pathologically high-grade lesions, but its role in cutaneous squamous cell carcinoma (cuSCC) remains unclear, particularly in lesions that are considered high risk.<h4>Objective</h4>We aimed to determine whether enhanced HPV transcriptional activity can be detected in high-risk cuSCC samples compared with low-grade SCC samples or normal skin.<h4>Methods</h4>We performed RNA sequencing of cuSCC across 23 risk-stratified skin lesions. A subset of samples was tested for the presence of HPV DNA. High-quality, non-human reads from each sample group were used for viral analysis using Microbiome Coverage Profiler.<h4>Results</h4>None of the samples analysed had detectable expression of HPV RNA, while 64% of samples tested positive for HPV DNA. All samples were found to have expression of human endogenous retrovirus, and multiple samples showed expression of other viruses.<h4>Conclusions</h4>Viral and prophage gene expression can be monitored in cuSCC or normal skin biopsies, yet no sample in our study showed evidence of active HPV gene expression despite evidence of HPV genome presence. This suggests HPV transcription does not play a role in differentiating high-risk cuSCCs from low-risk cuSCCs or normal skin.	Department of Medicine, Division of Dermatology, University of California, Los Angeles, CA, USA.	ppublish	eng	Print-Electronic	Research Support, Non-U.S. Gov't;research-article;Journal Article;Research Support, N.I.H., Extramural	immunosuppression;HPV;Scc;High-risk Scc	N	Y	N	Y	N	Y	1	Y	Y	Y	Y	Y		Y	geo	2021-05-26	2021-05-28	2022-11-09	2023-02-24	2021-05-25	2021-05-25	https://doi.org/10.1111/exd.14385	https://europepmc.org/articles/PMC9639216	https://europepmc.org/articles/PMC9639216?pdf=render			
0	PRJEB41619	35199089	35199089	MED	35199089	PMC8844718	PMC8844718	10.1016/j.xjidi.2021.100084	Malignant T Cell Activation by a <i>Bacillus</i> Species Isolated from Cutaneous T-Cell Lymphoma Lesions.	Dehner CA, Ruff WE, Greiling T, Pereira MS, Redanz S, McNiff J, Girardi M, Kriegel MA.	2.0	2	3309993	2022 Mar	3	2022	2022-03-01	JID innovations : skin science from molecules to population health	JID Innov	JID Innov	101776173	2667-0267	2667-0267	2022	100084	Cutaneous T-cell lymphoma (CTCL) is a life-debilitating malignancy of lymphocytes homing to the skin. Although CTCL is thought to arise from a combination of genetic, epigenetic, and environmental factors, specific triggers are unclear. The skin is colonized by a unique microbiota and is heavily influenced by its interactions. We hypothesized that adaptive immune responses to skin commensals lead to clonal T-cell proliferation and transformation in the appropriate genetic background. We therefore collected lesional and nonlesional skin microbiota from patients with CTCL to study T cell interactions using skin T cell explants and peripheral, skin-homing CD4<sup>+</sup> T cells. By various methods, we identified <i>Bacillus safensis</i> in CTCL lesions, a rare human commensal in healthy skin, and showed that it can induce malignant T cell activation and cytokine secretion. Taken together, our data suggest microbial triggers in the skin microbiota of patients with CTCL as potential instigators of tumorigenesis.	Department of Immunobiology, Yale University School of Medicine, New Haven, Connecticut, USA.	epublish	eng	Electronic-eCollection	research-article;Journal Article	Stat3, Signal Transducer And Activator Of Transcription 3;Rrna, Ribosomal Rna;Ctcl, Cutaneous T-cell Lymphoma;Mf, Mycosis Fungoides;Asv, Amplicon Sequence Variant;Cla, Cutaneous Lymphocyte‒associated Antigen	Y	Y	N	Y	N	N	4	Y	Y	Y	N	Y	cc by	Y	bioproject;gen;refseq;nct	2022-02-24	2022-02-25	2022-02-25	2022-03-28	2021-12-16	2021-12-16	https://doi.org/10.1016/j.xjidi.2021.100084	https://europepmc.org/articles/PMC8844718	https://europepmc.org/articles/PMC8844718?pdf=render	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC8844718/fullTextXML		http://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_package/2d/ae/PMC8844718.tar.gz
0	PRJEB36953	23949004	23949004	MED	23949004	PMC3760043	PMC3760043	10.3390/toxins5081402	Bacterial toxins fuel disease progression in cutaneous T-cell lymphoma.	Willerslev-Olsen A, Krejsgaard T, Lindahl LM, Bonefeld CM, Wasik MA, Koralov SB, Geisler C, Kilian M, Iversen L, Woetmann A, Odum N.	8.0	5	2085720	2013 Aug	8	2013	2013-08-01	Toxins	Toxins (Basel)	Toxins (Basel)	101530765	2072-6651	2072-6651	2013	1402-1421	In patients with cutaneous T-cell lymphoma (CTCL) bacterial infections constitute a major clinical problem caused by compromised skin barrier and a progressive immunodeficiency. Indeed, the majority of patients with advanced disease die from infections with bacteria, e.g., Staphylococcus aureus. Bacterial toxins such as staphylococcal enterotoxins (SE) have long been suspected to be involved in the pathogenesis in CTCL. Here, we review links between bacterial infections and CTCL with focus on earlier studies addressing a direct role of SE on malignant T cells and recent data indicating novel indirect mechanisms involving SE- and cytokine-driven cross-talk between malignant- and non-malignant T cells.	Department of International Health, Immunology and Microbiology, University of Copenhagen, Copenhagen 2200, Denmark.	epublish	eng	Electronic	Research Support, Non-U.S. Gov't;review-article;Review;Journal Article;Research Support, N.I.H., Extramural		Y	Y	Y	Y	N	N	40	Y	Y	Y	Y	Y	cc by	N		2013-08-17	2013-08-18	2020-07-08	2022-11-09	2013-08-14	2013-08-14	https://doi.org/10.3390/toxins5081402	https://europepmc.org/articles/PMC3760043	https://europepmc.org/articles/PMC3760043?pdf=render	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC3760043/fullTextXML		http://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_package/cc/40/PMC3760043.tar.gz
1	PRJEB36953	26829039	26829039	MED	26829039	PMC4842136	PMC4842136	10.1016/j.jid.2016.01.016	Skin Microbiome Surveys Are Strongly Influenced by Experimental Design.	Meisel JS, Hannigan GD, Tyldsley AS, SanMiguel AJ, Hodkinson BP, Zheng Q, Grice EA.	5.0	136	2400990	2016 May	5	2016	2016-05-01	The Journal of investigative dermatology	J Invest Dermatol	J Invest Dermatol	426720	0022-202X	1523-1747	2016	947-956	Culture-independent studies to characterize skin microbiota are increasingly common, due in part to affordable and accessible sequencing and analysis platforms. Compared to culture-based techniques, DNA sequencing of the bacterial 16S ribosomal RNA (rRNA) gene or whole metagenome shotgun (WMS) sequencing provides more precise microbial community characterizations. Most widely used protocols were developed to characterize microbiota of other habitats (i.e., gastrointestinal) and have not been systematically compared for their utility in skin microbiome surveys. Here we establish a resource for the cutaneous research community to guide experimental design in characterizing skin microbiota. We compare two widely sequenced regions of the 16S rRNA gene to WMS sequencing for recapitulating skin microbiome community composition, diversity, and genetic functional enrichment. We show that WMS sequencing most accurately recapitulates microbial communities, but sequencing of hypervariable regions 1-3 of the 16S rRNA gene provides highly similar results. Sequencing of hypervariable region 4 poorly captures skin commensal microbiota, especially Propionibacterium. WMS sequencing, which is resource and cost intensive, provides evidence of a community's functional potential; however, metagenome predictions based on 16S rRNA sequence tags closely approximate WMS genetic functional profiles. This study highlights the importance of experimental design for downstream results in skin microbiome surveys.	Department of Dermatology, University of Pennsylvania Perelman School of Medicine, Philadelphia, Pennsylvania, USA.	ppublish	eng	Print-Electronic	Research Support, Non-U.S. Gov't;research-article;Research Support, U.S. Gov't, Non-P.H.S.;Journal Article;Research Support, N.I.H., Extramural		N	Y	N	Y	N	Y	141	Y	Y	Y	Y	Y		Y	bioproject;refseq;doi	2016-02-02	2016-02-02	2020-10-28	2018-11-26	2016-01-29	2016-01-29	https://doi.org/10.1016/j.jid.2016.01.016	https://europepmc.org/articles/PMC4842136	https://europepmc.org/articles/PMC4842136?pdf=render			
2	PRJEB36953	27056560	27056560	MED	27056560			10.1007/s11882-016-0618-5	Skin Biomes.	Fyhrquist N, Salava A, Salava A, Auvinen P, Lauerma A.	5.0	16	2393338	2016 May	5	2016	2016-05-01	Current allergy and asthma reports	Curr Allergy Asthma Rep	Curr Allergy Asthma Rep	101096440	1529-7322	1534-6315	2016	40	The cutaneous microbiome has been investigated broadly in recent years and some traditional perspectives are beginning to change. A diverse microbiome exists on human skin and has a potential to influence pathogenic microbes and modulate the course of skin disorders, e.g. atopic dermatitis. In addition to the known dysfunctions in barrier function of the skin and immunologic disturbances, evidence is rising that frequent skin disorders, e.g. atopic dermatitis, might be connected to a dysbiosis of the microbial community and changes in the skin microbiome. As a future perspective, examining the skin microbiome could be seen as a potential new diagnostic and therapeutic target in inflammatory skin disorders.	Department of Bacteriology and Immunology, University of Helsinki, Helsinki, Finland.	ppublish	eng	Print	Review;Journal Article	Staphylococcus aureus;Metagenomics;Skin Microbiome;Inflammatory Skin Diseases;Cutaneous Microbial Diversity	N	N	N	N	N	N	14	Y	Y	Y	Y	Y		N		2016-04-09	2016-04-09		2018-12-02		2016-05-01	https://doi.org/10.1007/s11882-016-0618-5					
3	PRJEB36953	27153496	27153496	MED	27153496	PMC4860256	PMC4860256	10.1016/j.cell.2016.04.008	Temporal Stability of the Human Skin Microbiome.	Oh J, Byrd AL, Park M, NISC Comparative Sequencing Program, Kong HH, Segre JA.	4.0	165	2405512	2016 May	5	2016	2016-05-01	Cell	Cell	Cell	413066	0092-8674	1097-4172	2016	854-866	Biogeography and individuality shape the structural and functional composition of the human skin microbiome. To explore these factors' contribution to skin microbial community stability, we generated metagenomic sequence data from longitudinal samples collected over months and years. Analyzing these samples using a multi-kingdom, reference-based approach, we found that despite the skin's exposure to the external environment, its bacterial, fungal, and viral communities were largely stable over time. Site, individuality, and phylogeny were all determinants of stability. Foot sites exhibited the most variability; individuals differed in stability; and transience was a particular characteristic of eukaryotic viruses, which showed little site-specificity in colonization. Strain and single-nucleotide variant-level analysis showed that individuals maintain, rather than reacquire, prevalent microbes from the environment. Longitudinal stability of skin microbial communities generates hypotheses about colonization resistance and empowers clinical studies exploring alterations observed in disease states.	Translational and Functional Genomics Branch, National Human Genome Research Institute, NIH, Bethesda, MD 20892, USA.	ppublish	eng	Print	Research Support, N.I.H., Intramural;research-article;Journal Article		N	Y	N	Y	N	Y	354	Y	Y	Y	Y	Y		Y	nct	2016-05-07	2016-05-07	2020-10-26	2019-10-08		2016-05-01	https://doi.org/10.1016/j.cell.2016.04.008	https://europepmc.org/articles/PMC4860256	https://europepmc.org/articles/PMC4860256?pdf=render			
4	PRJEB36953	28063650	28063650	MED	28063650	PMC5468751	PMC5468751	10.1016/j.jid.2016.10.033	Performing Skin Microbiome Research: A Method to the Madness.	Kong HH, Andersson B, Clavel T, Common JE, Jackson SA, Olson ND, Segre JA, Traidl-Hoffmann C.	3.0	137	2527310	2017 Mar	3	2017	2017-03-01	The Journal of investigative dermatology	J Invest Dermatol	J Invest Dermatol	426720	0022-202X	1523-1747	2017	561-568	Growing interest in microbial contributions to human health and disease has increasingly led investigators to examine the microbiome in both healthy skin and cutaneous disorders, including acne, psoriasis, and atopic dermatitis. The need for common language, effective study design, and validated methods is critical for high-quality standardized research. Features, unique to skin, pose particular challenges when conducting microbiome research. This review discusses microbiome research standards and highlights important factors to consider, including clinical study design, skin sampling, sample processing, DNA sequencing, control inclusion, and data analysis.	Dermatology Branch, Center for Cancer Research, National Cancer Institute, NIH, Bethesda, Maryland, USA. Electronic address: konghe@mail.nih.gov.	ppublish	eng	Print-Electronic	research-article;Review;Journal Article		N	Y	N	Y	N	N	77	Y	Y	Y	Y	Y		N		2017-01-09	2017-01-13	2020-10-15	2019-10-08	2017-01-04	2017-01-04	https://doi.org/10.1016/j.jid.2016.10.033	https://europepmc.org/articles/PMC5468751	https://europepmc.org/articles/PMC5468751?pdf=render			
5	PRJEB36953	28175925	28175925	MED	28175925			10.2340/00015555-2631	Skin Microbiome in Small- and Large-plaque Parapsoriasis.	Salava A, Pereira P, Aho V, Väkevä L, Paulin L, Auvinen P, Ranki A, Lauerma A.	6.0	97	2566354	2017 Jun	6	2017	2017-06-01	Acta dermato-venereologica	Acta Derm Venereol	Acta Derm Venereol	370310	0001-5555	1651-2057	2017	685-691	Staphylococcal enterotoxins have been shown to promote lymphoma-associated immune dysregulation. This study examined changes in the skin microbiome of parapsoriasis compared with intact skin. Swab microbiome specimens were taken of the parapsoriasis lesions of 13 patients. Control samples were taken from contralateral healthy sides of the body. Microbiotas were characterized by sequencing the V1-V3 region of the 16S ribosomal RNA bacterial genes on the Illumina MiSeq platform. The most common genera in the microbiome data were Propionibacterium (27.13%), Corynebacterium (21.20%) and Staphylococcus (4.63%). Out of the Staphylococcus sequences, 39.6% represented S. epidermidis, with the rest including S. hominis, S. capitis and unidentified species. No significant differences were observed between the patients' parapsoriasis and contralateral healthy skin or between large- and small-plaque parapsoriasis. Notable interpersonal variation was demonstrated. These results suggest that parapsoriasis is not associated with significant alterations in the cutaneous bacterial microbiome.	Department of Dermatology and Allergology, University of Helsinki, and Helinki University Hospital, FIN-00250 Helsinki, Finland. alexander.salava@hus.fi.	ppublish	eng	Print	Journal Article		N	N	N	N	N	N	3	Y	N	Y	Y	Y		N		2017-02-09	2017-02-09		2017-12-12		2017-06-01	https://doi.org/10.2340/00015555-2631					
6	PRJEB36953	29332945	29332945	MED	29332945			10.1038/nrmicro.2017.157	The human skin microbiome.	Byrd AL, Belkaid Y, Segre JA.	3.0	16	2650992	2018 Mar	3	2018	2018-03-01	Nature reviews. Microbiology	Nat Rev Microbiol	Nat Rev Microbiol	101190261	1740-1526	1740-1534	2018	143-155	Functioning as the exterior interface of the human body with the environment, skin acts as a physical barrier to prevent the invasion of foreign pathogens while providing a home to the commensal microbiota. The harsh physical landscape of skin, particularly the desiccated, nutrient-poor, acidic environment, also contributes to the adversity that pathogens face when colonizing human skin. Despite this, the skin is colonized by a diverse microbiota. In this Review, we describe amplicon and shotgun metagenomic DNA sequencing studies that have been used to assess the taxonomic diversity of microorganisms that are associated with skin from the kingdom to the strain level. We discuss recent insights into skin microbial communities, including their composition in health and disease, the dynamics between species and interactions with the immune system, with a focus on Propionibacterium acnes, Staphylococcus epidermidis and Staphylococcus aureus.	Microbial Genomics Section, National Human Genome Research Institute, National Institutes of Health, Bethesda, Maryland 20892, USA.	ppublish	eng	Print-Electronic	Research Support, N.I.H., Intramural;Review;Journal Article		N	N	N	N	N	N	529	Y	Y	Y	Y	Y		N		2018-01-16	2018-01-15		2020-03-06	2018-01-15	2018-01-15	https://doi.org/10.1038/nrmicro.2017.157					
