center_name	PRIMARY_ID	EXTERNAL_ID	SUBMITTER_ID	TITLE	TAXON_ID	SCIENTIFIC_NAME	ENA-SUBMISSION	ENA-FASTQ-FILES	ENA-SUBMITTED-FILES	collection date	environment (biome)	environment (feature)	environment (material)	geographic location (country and/or sea)	geographic location (latitude)	geographic location (longitude)	host-associated environmental package	investigation type	project name	sequencing method	ENA-CHECKLIST	ENA-SPOT-COUNT	ENA-BASE-COUNT	ENA-FIRST-PUBLIC	ENA-LAST-UPDATE
Key Laboratory of Environmental and Applied Microbiology, CAS	ERS5337297	SAMEA7578959	wyj11	skin	749906	gut metagenome	ERA3145805	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS5337297&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS5337297&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	2019	skin	skin	skin	China	103.82	36.07	host-associated	mimarks-survey	skin_metagenome	MiSeq	ERC000013	47682	20251769	2022-01-30	2022-01-30
Key Laboratory of Environmental and Applied Microbiology, CAS	ERS5337298	SAMEA7578960	wyj12	skin	749906	gut metagenome	ERA3145805	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS5337298&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS5337298&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	2019	skin	skin	skin	China	103.82	36.07	host-associated	mimarks-survey	skin_metagenome	MiSeq	ERC000013	16120	6858288	2022-01-30	2022-01-30
Key Laboratory of Environmental and Applied Microbiology, CAS	ERS5337299	SAMEA7578961	wyj13	skin	749906	gut metagenome	ERA3145805	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS5337299&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS5337299&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	2019	skin	skin	skin	China	103.82	36.07	host-associated	mimarks-survey	skin_metagenome	MiSeq	ERC000013	23320	9930054	2022-01-30	2022-01-30
Key Laboratory of Environmental and Applied Microbiology, CAS	ERS5337300	SAMEA7578962	wyj14	skin	749906	gut metagenome	ERA3145805	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS5337300&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS5337300&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	2019	skin	skin	skin	China	103.82	36.07	host-associated	mimarks-survey	skin_metagenome	MiSeq	ERC000013	34893	14860456	2022-01-30	2022-01-30
Key Laboratory of Environmental and Applied Microbiology, CAS	ERS5337301	SAMEA7578963	wyj15	skin	749906	gut metagenome	ERA3145805	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS5337301&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS5337301&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	2019	skin	skin	skin	China	103.82	36.07	host-associated	mimarks-survey	skin_metagenome	MiSeq	ERC000013	83386	35528765	2022-01-30	2022-01-30
Key Laboratory of Environmental and Applied Microbiology, CAS	ERS5337302	SAMEA7578964	wyj16	skin	749906	gut metagenome	ERA3145805	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS5337302&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS5337302&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	2019	skin	skin	skin	China	103.82	36.07	host-associated	mimarks-survey	skin_metagenome	MiSeq	ERC000013	38814	16514085	2022-01-30	2022-01-30
Key Laboratory of Environmental and Applied Microbiology, CAS	ERS5337303	SAMEA7578965	wyj17	skin	749906	gut metagenome	ERA3145805	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS5337303&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS5337303&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	2019	skin	skin	skin	China	103.82	36.07	host-associated	mimarks-survey	skin_metagenome	MiSeq	ERC000013	172118	73341587	2022-01-30	2022-01-30
Key Laboratory of Environmental and Applied Microbiology, CAS	ERS5337304	SAMEA7578966	wyj18	skin	749906	gut metagenome	ERA3145805	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS5337304&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS5337304&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	2019	skin	skin	skin	China	103.82	36.07	host-associated	mimarks-survey	skin_metagenome	MiSeq	ERC000013	24854	10592194	2022-01-30	2022-01-30
Key Laboratory of Environmental and Applied Microbiology, CAS	ERS5337305	SAMEA7578967	wyj19	skin	749906	gut metagenome	ERA3145805	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS5337305&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS5337305&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	2019	skin	skin	skin	China	103.82	36.07	host-associated	mimarks-survey	skin_metagenome	MiSeq	ERC000013	103191	43934451	2022-01-30	2022-01-30
Key Laboratory of Environmental and Applied Microbiology, CAS	ERS5337306	SAMEA7578968	wyj20	skin	749906	gut metagenome	ERA3145805	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS5337306&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS5337306&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	2019	skin	skin	skin	China	103.82	36.07	host-associated	mimarks-survey	skin_metagenome	MiSeq	ERC000013	101221	42986739	2022-01-30	2022-01-30
Key Laboratory of Environmental and Applied Microbiology, CAS	ERS5337307	SAMEA7578969	wyj21	skin	749906	gut metagenome	ERA3145805	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS5337307&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS5337307&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	2019	skin	skin	skin	China	103.82	36.07	host-associated	mimarks-survey	skin_metagenome	MiSeq	ERC000013	115078	49034950	2022-01-30	2022-01-30
Key Laboratory of Environmental and Applied Microbiology, CAS	ERS5337308	SAMEA7578970	wyj22	skin	749906	gut metagenome	ERA3145805	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS5337308&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS5337308&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	2019	skin	skin	skin	China	103.82	36.07	host-associated	mimarks-survey	skin_metagenome	MiSeq	ERC000013	45196	19265784	2022-01-30	2022-01-30
Key Laboratory of Environmental and Applied Microbiology, CAS	ERS5337309	SAMEA7578971	wyj23	skin	749906	gut metagenome	ERA3145805	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS5337309&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS5337309&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	2019	skin	skin	skin	China	103.82	36.07	host-associated	mimarks-survey	skin_metagenome	MiSeq	ERC000013	35237	14977159	2022-01-30	2022-01-30
Key Laboratory of Environmental and Applied Microbiology, CAS	ERS5337310	SAMEA7578972	wyj24	skin	749906	gut metagenome	ERA3145805	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS5337310&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS5337310&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	2019	skin	skin	skin	China	103.82	36.07	host-associated	mimarks-survey	skin_metagenome	MiSeq	ERC000013	7131	3042299	2022-01-30	2022-01-30
Key Laboratory of Environmental and Applied Microbiology, CAS	ERS5337311	SAMEA7578973	wyj25	skin	749906	gut metagenome	ERA3145805	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS5337311&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS5337311&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	2019	skin	skin	skin	China	103.82	36.07	host-associated	mimarks-survey	skin_metagenome	MiSeq	ERC000013	7063	3000103	2022-01-30	2022-01-30
Key Laboratory of Environmental and Applied Microbiology, CAS	ERS5337312	SAMEA7578974	wyj26	skin	749906	gut metagenome	ERA3145805	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS5337312&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS5337312&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	2019	skin	skin	skin	China	103.82	36.07	host-associated	mimarks-survey	skin_metagenome	MiSeq	ERC000013	57809	24634056	2022-01-30	2022-01-30
Key Laboratory of Environmental and Applied Microbiology, CAS	ERS5337313	SAMEA7578975	wyj27	skin	749906	gut metagenome	ERA3145805	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS5337313&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS5337313&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	2019	skin	skin	skin	China	103.82	36.07	host-associated	mimarks-survey	skin_metagenome	MiSeq	ERC000013	47568	20281222	2022-01-30	2022-01-30
Key Laboratory of Environmental and Applied Microbiology, CAS	ERS5337314	SAMEA7578976	wyj28	skin	749906	gut metagenome	ERA3145805	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS5337314&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS5337314&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	2019	skin	skin	skin	China	103.82	36.07	host-associated	mimarks-survey	skin_metagenome	MiSeq	ERC000013	49941	21304043	2022-01-30	2022-01-30
Key Laboratory of Environmental and Applied Microbiology, CAS	ERS5337315	SAMEA7578977	wyj29	skin	749906	gut metagenome	ERA3145805	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS5337315&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS5337315&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	2019	skin	skin	skin	China	103.82	36.07	host-associated	mimarks-survey	skin_metagenome	MiSeq	ERC000013	30831	13147958	2022-01-30	2022-01-30
Key Laboratory of Environmental and Applied Microbiology, CAS	ERS5337316	SAMEA7578978	wyj30	skin	749906	gut metagenome	ERA3145805	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS5337316&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS5337316&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	2019	skin	skin	skin	China	103.82	36.07	host-associated	mimarks-survey	skin_metagenome	MiSeq	ERC000013	101841	43424833	2022-01-30	2022-01-30
Key Laboratory of Environmental and Applied Microbiology, CAS	ERS5337317	SAMEA7578979	wyj31	skin	749906	gut metagenome	ERA3145805	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS5337317&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS5337317&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	2019	skin	skin	skin	China	103.82	36.07	host-associated	mimarks-survey	skin_metagenome	MiSeq	ERC000013	74601	31637097	2022-01-30	2022-01-30
Key Laboratory of Environmental and Applied Microbiology, CAS	ERS5337318	SAMEA7578980	wyj32	skin	749906	gut metagenome	ERA3145805	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS5337318&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS5337318&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	2019	skin	skin	skin	China	103.82	36.07	host-associated	mimarks-survey	skin_metagenome	MiSeq	ERC000013	110131	46819572	2022-01-30	2022-01-30
Key Laboratory of Environmental and Applied Microbiology, CAS	ERS5337319	SAMEA7578981	wyj33	skin	749906	gut metagenome	ERA3145805	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS5337319&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS5337319&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	2019	skin	skin	skin	China	103.82	36.07	host-associated	mimarks-survey	skin_metagenome	MiSeq	ERC000013	107772	45856360	2022-01-30	2022-01-30
Key Laboratory of Environmental and Applied Microbiology, CAS	ERS5337320	SAMEA7578982	wyj34	skin	749906	gut metagenome	ERA3145805	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS5337320&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS5337320&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	2019	skin	skin	skin	China	103.82	36.07	host-associated	mimarks-survey	skin_metagenome	MiSeq	ERC000013	30315	12901670	2022-01-30	2022-01-30
Key Laboratory of Environmental and Applied Microbiology, CAS	ERS5337321	SAMEA7578983	wyj35	skin	749906	gut metagenome	ERA3145805	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS5337321&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS5337321&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	2019	skin	skin	skin	China	103.82	36.07	host-associated	mimarks-survey	skin_metagenome	MiSeq	ERC000013	13099	5565293	2022-01-30	2022-01-30
Key Laboratory of Environmental and Applied Microbiology, CAS	ERS5337322	SAMEA7578984	wyj36	skin	749906	gut metagenome	ERA3145805	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS5337322&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS5337322&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	2019	skin	skin	skin	China	103.82	36.07	host-associated	mimarks-survey	skin_metagenome	MiSeq	ERC000013	37631	16047952	2022-01-30	2022-01-30
Key Laboratory of Environmental and Applied Microbiology, CAS	ERS5337323	SAMEA7578985	wyj37	skin	749906	gut metagenome	ERA3145805	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS5337323&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS5337323&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	2019	skin	skin	skin	China	103.82	36.07	host-associated	mimarks-survey	skin_metagenome	MiSeq	ERC000013	68967	29423514	2022-01-30	2022-01-30
Key Laboratory of Environmental and Applied Microbiology, CAS	ERS5337324	SAMEA7578986	wyj38	skin	749906	gut metagenome	ERA3145805	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS5337324&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS5337324&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	2019	skin	skin	skin	China	103.82	36.07	host-associated	mimarks-survey	skin_metagenome	MiSeq	ERC000013	175795	74699601	2022-01-30	2022-01-30
Key Laboratory of Environmental and Applied Microbiology, CAS	ERS5337325	SAMEA7578987	wyj39	skin	749906	gut metagenome	ERA3145805	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS5337325&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS5337325&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	2019	skin	skin	skin	China	103.82	36.07	host-associated	mimarks-survey	skin_metagenome	MiSeq	ERC000013	59760	25467927	2022-01-30	2022-01-30
Key Laboratory of Environmental and Applied Microbiology, CAS	ERS5337326	SAMEA7578988	wyj40	skin	749906	gut metagenome	ERA3145805	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS5337326&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS5337326&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	2019	skin	skin	skin	China	103.82	36.07	host-associated	mimarks-survey	skin_metagenome	MiSeq	ERC000013	101892	43395773	2022-01-30	2022-01-30
Key Laboratory of Environmental and Applied Microbiology, CAS	ERS5337327	SAMEA7578989	wyj41	skin	749906	gut metagenome	ERA3145805	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS5337327&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS5337327&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	2019	skin	skin	skin	China	103.82	36.07	host-associated	mimarks-survey	skin_metagenome	MiSeq	ERC000013	61372	26159640	2022-01-30	2022-01-30
Key Laboratory of Environmental and Applied Microbiology, CAS	ERS5337328	SAMEA7578990	wyj42	skin	749906	gut metagenome	ERA3145805	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS5337328&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS5337328&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	2019	skin	skin	skin	China	103.82	36.07	host-associated	mimarks-survey	skin_metagenome	MiSeq	ERC000013	20420	8702980	2022-01-30	2022-01-30
Key Laboratory of Environmental and Applied Microbiology, CAS	ERS5337329	SAMEA7578991	wyj43	skin	749906	gut metagenome	ERA3145805	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS5337329&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS5337329&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	2019	skin	skin	skin	China	103.82	36.07	host-associated	mimarks-survey	skin_metagenome	MiSeq	ERC000013	97730	41686430	2022-01-30	2022-01-30
Key Laboratory of Environmental and Applied Microbiology, CAS	ERS5337330	SAMEA7578992	wyj44	skin	749906	gut metagenome	ERA3145805	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS5337330&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS5337330&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	2019	skin	skin	skin	China	103.82	36.07	host-associated	mimarks-survey	skin_metagenome	MiSeq	ERC000013	177619	75729524	2022-01-30	2022-01-30
Key Laboratory of Environmental and Applied Microbiology, CAS	ERS5337331	SAMEA7578993	wyj45	skin	749906	gut metagenome	ERA3145805	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS5337331&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS5337331&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	2019	skin	skin	skin	China	103.82	36.07	host-associated	mimarks-survey	skin_metagenome	MiSeq	ERC000013	75410	32205712	2022-01-30	2022-01-30
