	study_accession	secondary_study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	submission_accession	tax_id	scientific_name	instrument_platform	instrument_model	library_name	nominal_length	library_layout	library_strategy	library_source	library_selection	read_count	base_count	center_name	first_public	last_updated	experiment_title	study_title	study_alias	experiment_alias	run_alias	fastq_bytes	fastq_md5	fastq_ftp	fastq_aspera	fastq_galaxy	submitted_bytes	submitted_md5	submitted_ftp	submitted_aspera	submitted_galaxy	submitted_format	sra_bytes	sra_md5	sra_ftp	sra_aspera	sra_galaxy	cram_index_ftp	cram_index_aspera	cram_index_galaxy	sample_alias	broker_name	sample_title	nominal_sdev	first_created
10	PRJDB5064	DRP004280	SAMD00057059	DRS063793	DRX066556	DRR072618	DRA005151	539655	human skin metagenome	LS454	454 GS FLX Titanium			SINGLE	AMPLICON	METAGENOMIC	PCR	2500	866338	UT_COB	2018-06-14	2018-06-14	454 GS FLX Titanium sequencing; 454 GS FLX Titanium sequencing of SAMD00057059	16S amplicon sequence analysis of skin microbiomes from Japanese individual	DRP004280	DRX066556	DRR072618	219172	82c3db0b01ca765603256fc7e0353591	ftp.sra.ebi.ac.uk/vol1/fastq/DRR072/DRR072618/DRR072618.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/DRR072/DRR072618/DRR072618.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/DRR072/DRR072618/DRR072618.fastq.gz							433702.0	d5a41c8a117f0fc4a6332f2c753ba15d	ftp.sra.ebi.ac.uk/vol1/drr/DRR072/DRR072618	fasp.sra.ebi.ac.uk:/vol1/drr/DRR072/DRR072618	ftp.sra.ebi.ac.uk/vol1/drr/DRR072/DRR072618				SAMD00057059		CK-11		2018-06-14
11	PRJDB5064	DRP004280	SAMD00057060	DRS063794	DRX066557	DRR072619	DRA005151	539655	human skin metagenome	LS454	454 GS FLX Titanium			SINGLE	AMPLICON	METAGENOMIC	PCR	2500	870150	UT_COB	2018-06-14	2018-06-14	454 GS FLX Titanium sequencing; 454 GS FLX Titanium sequencing of SAMD00057060	16S amplicon sequence analysis of skin microbiomes from Japanese individual	DRP004280	DRX066557	DRR072619	246027	0f10e2dd1f47396943567afcc5db2f89	ftp.sra.ebi.ac.uk/vol1/fastq/DRR072/DRR072619/DRR072619.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/DRR072/DRR072619/DRR072619.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/DRR072/DRR072619/DRR072619.fastq.gz							440231.0	2db22bda47d9df1cc60c494ed0397c68	ftp.sra.ebi.ac.uk/vol1/drr/DRR072/DRR072619	fasp.sra.ebi.ac.uk:/vol1/drr/DRR072/DRR072619	ftp.sra.ebi.ac.uk/vol1/drr/DRR072/DRR072619				SAMD00057060		CK-12		2018-06-14
12	PRJDB5064	DRP004280	SAMD00057061	DRS063795	DRX066558	DRR072620	DRA005151	539655	human skin metagenome	LS454	454 GS FLX Titanium			SINGLE	AMPLICON	METAGENOMIC	PCR	2500	867212	UT_COB	2018-06-14	2018-06-14	454 GS FLX Titanium sequencing; 454 GS FLX Titanium sequencing of SAMD00057061	16S amplicon sequence analysis of skin microbiomes from Japanese individual	DRP004280	DRX066558	DRR072620	205159	4e56dd1f73566694c2b1837de57f702e	ftp.sra.ebi.ac.uk/vol1/fastq/DRR072/DRR072620/DRR072620.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/DRR072/DRR072620/DRR072620.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/DRR072/DRR072620/DRR072620.fastq.gz							434905.0	0fdf309b894781943e729721b94ce14e	ftp.sra.ebi.ac.uk/vol1/drr/DRR072/DRR072620	fasp.sra.ebi.ac.uk:/vol1/drr/DRR072/DRR072620	ftp.sra.ebi.ac.uk/vol1/drr/DRR072/DRR072620				SAMD00057061		CK-13		2018-06-14
13	PRJDB5064	DRP004280	SAMD00057062	DRS063796	DRX066559	DRR072621	DRA005151	539655	human skin metagenome	LS454	454 GS FLX Titanium			SINGLE	AMPLICON	METAGENOMIC	PCR	2500	876501	UT_COB	2018-06-14	2018-06-14	454 GS FLX Titanium sequencing; 454 GS FLX Titanium sequencing of SAMD00057062	16S amplicon sequence analysis of skin microbiomes from Japanese individual	DRP004280	DRX066559	DRR072621	312510	c1cfd8d7b31cea88ee8d65ad540f3546	ftp.sra.ebi.ac.uk/vol1/fastq/DRR072/DRR072621/DRR072621.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/DRR072/DRR072621/DRR072621.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/DRR072/DRR072621/DRR072621.fastq.gz							457974.0	4ba48aa6627e5ceba0e154b66722667b	ftp.sra.ebi.ac.uk/vol1/drr/DRR072/DRR072621	fasp.sra.ebi.ac.uk:/vol1/drr/DRR072/DRR072621	ftp.sra.ebi.ac.uk/vol1/drr/DRR072/DRR072621				SAMD00057062		CK-14		2018-06-14
14	PRJDB5064	DRP004280	SAMD00057063	DRS063797	DRX066560	DRR072622	DRA005151	539655	human skin metagenome	LS454	454 GS FLX Titanium			SINGLE	AMPLICON	METAGENOMIC	PCR	2500	874978	UT_COB	2018-06-14	2018-06-14	454 GS FLX Titanium sequencing; 454 GS FLX Titanium sequencing of SAMD00057063	16S amplicon sequence analysis of skin microbiomes from Japanese individual	DRP004280	DRX066560	DRR072622	289616	2e7873c768574e4310b65ad505ca2a6e	ftp.sra.ebi.ac.uk/vol1/fastq/DRR072/DRR072622/DRR072622.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/DRR072/DRR072622/DRR072622.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/DRR072/DRR072622/DRR072622.fastq.gz							445757.0	dfb0c17157e8bfb60f27c2daf0425cc4	ftp.sra.ebi.ac.uk/vol1/drr/DRR072/DRR072622	fasp.sra.ebi.ac.uk:/vol1/drr/DRR072/DRR072622	ftp.sra.ebi.ac.uk/vol1/drr/DRR072/DRR072622				SAMD00057063		CK-15		2018-06-14
15	PRJDB5064	DRP004280	SAMD00057064	DRS063798	DRX066561	DRR072623	DRA005151	539655	human skin metagenome	LS454	454 GS FLX Titanium			SINGLE	AMPLICON	METAGENOMIC	PCR	2500	871005	UT_COB	2018-06-14	2018-06-14	454 GS FLX Titanium sequencing; 454 GS FLX Titanium sequencing of SAMD00057064	16S amplicon sequence analysis of skin microbiomes from Japanese individual	DRP004280	DRX066561	DRR072623	245717	d9f4128c7c67b7f7bab432596bdaf463	ftp.sra.ebi.ac.uk/vol1/fastq/DRR072/DRR072623/DRR072623.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/DRR072/DRR072623/DRR072623.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/DRR072/DRR072623/DRR072623.fastq.gz							440754.0	8a40a56b41e4f5fce9e657b56089a69e	ftp.sra.ebi.ac.uk/vol1/drr/DRR072/DRR072623	fasp.sra.ebi.ac.uk:/vol1/drr/DRR072/DRR072623	ftp.sra.ebi.ac.uk/vol1/drr/DRR072/DRR072623				SAMD00057064		CK-16		2018-06-14
16	PRJDB5064	DRP004280	SAMD00057065	DRS063799	DRX066562	DRR072624	DRA005151	539655	human skin metagenome	LS454	454 GS FLX Titanium			SINGLE	AMPLICON	METAGENOMIC	PCR	2500	879054	UT_COB	2018-06-14	2018-06-14	454 GS FLX Titanium sequencing; 454 GS FLX Titanium sequencing of SAMD00057065	16S amplicon sequence analysis of skin microbiomes from Japanese individual	DRP004280	DRX066562	DRR072624	241495	7746feceb16f72cbd1b5681b3c51aecf	ftp.sra.ebi.ac.uk/vol1/fastq/DRR072/DRR072624/DRR072624.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/DRR072/DRR072624/DRR072624.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/DRR072/DRR072624/DRR072624.fastq.gz							424160.0	f8886595b6656452bcd652c1851462e3	ftp.sra.ebi.ac.uk/vol1/drr/DRR072/DRR072624	fasp.sra.ebi.ac.uk:/vol1/drr/DRR072/DRR072624	ftp.sra.ebi.ac.uk/vol1/drr/DRR072/DRR072624				SAMD00057065		CK-17		2018-06-14
17	PRJDB5064	DRP004280	SAMD00057066	DRS063800	DRX066563	DRR072625	DRA005151	539655	human skin metagenome	LS454	454 GS FLX Titanium			SINGLE	AMPLICON	METAGENOMIC	PCR	2500	865784	UT_COB	2018-06-14	2018-06-14	454 GS FLX Titanium sequencing; 454 GS FLX Titanium sequencing of SAMD00057066	16S amplicon sequence analysis of skin microbiomes from Japanese individual	DRP004280	DRX066563	DRR072625	204929	2b2dce6e53ec707069c55a3776fef450	ftp.sra.ebi.ac.uk/vol1/fastq/DRR072/DRR072625/DRR072625.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/DRR072/DRR072625/DRR072625.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/DRR072/DRR072625/DRR072625.fastq.gz							432583.0	30aceb899e392568f030a59af8ed755e	ftp.sra.ebi.ac.uk/vol1/drr/DRR072/DRR072625	fasp.sra.ebi.ac.uk:/vol1/drr/DRR072/DRR072625	ftp.sra.ebi.ac.uk/vol1/drr/DRR072/DRR072625				SAMD00057066		CK-18		2018-06-14
18	PRJDB5064	DRP004280	SAMD00057067	DRS063801	DRX066564	DRR072626	DRA005151	539655	human skin metagenome	LS454	454 GS FLX Titanium			SINGLE	AMPLICON	METAGENOMIC	PCR	2500	865201	UT_COB	2018-06-14	2018-06-14	454 GS FLX Titanium sequencing; 454 GS FLX Titanium sequencing of SAMD00057067	16S amplicon sequence analysis of skin microbiomes from Japanese individual	DRP004280	DRX066564	DRR072626	207045	c5504230ee65739faf8af761770e903e	ftp.sra.ebi.ac.uk/vol1/fastq/DRR072/DRR072626/DRR072626.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/DRR072/DRR072626/DRR072626.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/DRR072/DRR072626/DRR072626.fastq.gz							440818.0	686f67706b2b8f2c7cad775311d7b99a	ftp.sra.ebi.ac.uk/vol1/drr/DRR072/DRR072626	fasp.sra.ebi.ac.uk:/vol1/drr/DRR072/DRR072626	ftp.sra.ebi.ac.uk/vol1/drr/DRR072/DRR072626				SAMD00057067		CK-19		2018-06-14
19	PRJDB5064	DRP004280	SAMD00057068	DRS063802	DRX066565	DRR072627	DRA005151	539655	human skin metagenome	LS454	454 GS FLX Titanium			SINGLE	AMPLICON	METAGENOMIC	PCR	2500	866261	UT_COB	2018-06-14	2018-06-14	454 GS FLX Titanium sequencing; 454 GS FLX Titanium sequencing of SAMD00057068	16S amplicon sequence analysis of skin microbiomes from Japanese individual	DRP004280	DRX066565	DRR072627	208636	326f93b8219af3824ca3a5481e93018b	ftp.sra.ebi.ac.uk/vol1/fastq/DRR072/DRR072627/DRR072627.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/DRR072/DRR072627/DRR072627.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/DRR072/DRR072627/DRR072627.fastq.gz							427733.0	1bdc6bfa20aa3507f4bb453d94c7c6f2	ftp.sra.ebi.ac.uk/vol1/drr/DRR072/DRR072627	fasp.sra.ebi.ac.uk:/vol1/drr/DRR072/DRR072627	ftp.sra.ebi.ac.uk/vol1/drr/DRR072/DRR072627				SAMD00057068		CK-20		2018-06-14
20	PRJDB5064	DRP004280	SAMD00057069	DRS063803	DRX066566	DRR072628	DRA005151	539655	human skin metagenome	LS454	454 GS FLX Titanium			SINGLE	AMPLICON	METAGENOMIC	PCR	2500	865951	UT_COB	2018-06-14	2018-06-14	454 GS FLX Titanium sequencing; 454 GS FLX Titanium sequencing of SAMD00057069	16S amplicon sequence analysis of skin microbiomes from Japanese individual	DRP004280	DRX066566	DRR072628	190604	3983d42ece2480c3fa732a2aa0ff4b9c	ftp.sra.ebi.ac.uk/vol1/fastq/DRR072/DRR072628/DRR072628.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/DRR072/DRR072628/DRR072628.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/DRR072/DRR072628/DRR072628.fastq.gz							422476.0	e108a7f14a4a2e1b004f75d58110161e	ftp.sra.ebi.ac.uk/vol1/drr/DRR072/DRR072628	fasp.sra.ebi.ac.uk:/vol1/drr/DRR072/DRR072628	ftp.sra.ebi.ac.uk/vol1/drr/DRR072/DRR072628				SAMD00057069		CK-21		2018-06-14
21	PRJDB5064	DRP004280	SAMD00057070	DRS063804	DRX066567	DRR072629	DRA005151	539655	human skin metagenome	LS454	454 GS FLX Titanium			SINGLE	AMPLICON	METAGENOMIC	PCR	2500	864538	UT_COB	2018-06-14	2018-06-14	454 GS FLX Titanium sequencing; 454 GS FLX Titanium sequencing of SAMD00057070	16S amplicon sequence analysis of skin microbiomes from Japanese individual	DRP004280	DRX066567	DRR072629	187428	ef97fd5bed12969357a4e9addb3aa456	ftp.sra.ebi.ac.uk/vol1/fastq/DRR072/DRR072629/DRR072629.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/DRR072/DRR072629/DRR072629.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/DRR072/DRR072629/DRR072629.fastq.gz							417400.0	ce19ab2e90e2dab6da72cd59a401e47d	ftp.sra.ebi.ac.uk/vol1/drr/DRR072/DRR072629	fasp.sra.ebi.ac.uk:/vol1/drr/DRR072/DRR072629	ftp.sra.ebi.ac.uk/vol1/drr/DRR072/DRR072629				SAMD00057070		CK-22		2018-06-14
22	PRJDB5064	DRP004280	SAMD00057071	DRS063805	DRX066568	DRR072630	DRA005151	539655	human skin metagenome	LS454	454 GS FLX Titanium			SINGLE	AMPLICON	METAGENOMIC	PCR	2500	869162	UT_COB	2018-06-14	2018-06-14	454 GS FLX Titanium sequencing; 454 GS FLX Titanium sequencing of SAMD00057071	16S amplicon sequence analysis of skin microbiomes from Japanese individual	DRP004280	DRX066568	DRR072630	195569	13a8fe2a2db291c4f25cdb84be21a665	ftp.sra.ebi.ac.uk/vol1/fastq/DRR072/DRR072630/DRR072630.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/DRR072/DRR072630/DRR072630.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/DRR072/DRR072630/DRR072630.fastq.gz							396345.0	8bd6d968d7d2077d8d40a55a9a91fb39	ftp.sra.ebi.ac.uk/vol1/drr/DRR072/DRR072630	fasp.sra.ebi.ac.uk:/vol1/drr/DRR072/DRR072630	ftp.sra.ebi.ac.uk/vol1/drr/DRR072/DRR072630				SAMD00057071		CK-23		2018-06-14
23	PRJDB5064	DRP004280	SAMD00057072	DRS063806	DRX066569	DRR072631	DRA005151	539655	human skin metagenome	LS454	454 GS FLX Titanium			SINGLE	AMPLICON	METAGENOMIC	PCR	2500	872490	UT_COB	2018-06-14	2018-06-14	454 GS FLX Titanium sequencing; 454 GS FLX Titanium sequencing of SAMD00057072	16S amplicon sequence analysis of skin microbiomes from Japanese individual	DRP004280	DRX066569	DRR072631	227956	ee666df85acabd88bd334bfb4f86968e	ftp.sra.ebi.ac.uk/vol1/fastq/DRR072/DRR072631/DRR072631.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/DRR072/DRR072631/DRR072631.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/DRR072/DRR072631/DRR072631.fastq.gz							412928.0	05ba84f9ebe9513bbae4b0210d20692e	ftp.sra.ebi.ac.uk/vol1/drr/DRR072/DRR072631	fasp.sra.ebi.ac.uk:/vol1/drr/DRR072/DRR072631	ftp.sra.ebi.ac.uk/vol1/drr/DRR072/DRR072631				SAMD00057072		CK-24		2018-06-14
