broker_name	center_name	PRIMARY_ID	EXTERNAL_ID	SUBMITTER_ID	TITLE	TAXON_ID	SCIENTIFIC_NAME	COMMON_NAME	ENA-STUDY	ENA-EXPERIMENT	ENA-RUN	ENA-SUBMISSION	ENA-FASTQ-FILES	ENA-SUBMITTED-FILES	isolate	age	biomaterial_provider	sex	tissue	cell_line	cell_type	replicate	microbiome_treatment	BioSampleModel	ENA-SPOT-COUNT	ENA-BASE-COUNT	ENA-FIRST-PUBLIC	ENA-LAST-UPDATE
NCBI	pda|zudockk1	SRS6153196	SAMN14118296	Roseomonas_62_A	Homo sapiens	9606	Homo sapiens	human	SRP249658	SRX7732818	SRR11094008	SRA1043354	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS6153196&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS6153196&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	EpiDerm FT	not applicable	MatTek Corporation200 Homer AveAshland, MA 01721https://www.mattek.com/	not applicable	Skin	EFT-400-7A	whole tissue	Roseomonas_62_1	Roseomonas sp. AF061_002	Human	10287166	781824616	2020-02-18	2020-02-18
NCBI	pda|zudockk1	SRS6153197	SAMN14118297	Roseomonas_62_B	Homo sapiens	9606	Homo sapiens	human	SRP249658	SRX7732819	SRR11094007	SRA1043354	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS6153197&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS6153197&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	EpiDerm FT	not applicable	MatTek Corporation200 Homer AveAshland, MA 01721https://www.mattek.com/	not applicable	Skin	EFT-400-7A	whole tissue	Roseomonas_62_2	Roseomonas sp. AF061_002	Human	11830485	899116860	2020-02-18	2020-02-18
NCBI	pda|zudockk1	SRS6153198	SAMN14118298	Roseomonas_62_C	Homo sapiens	9606	Homo sapiens	human	SRP249658	SRX7732820	SRR11094006	SRA1043354	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS6153198&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS6153198&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	EpiDerm FT	not applicable	MatTek Corporation200 Homer AveAshland, MA 01721https://www.mattek.com/	not applicable	Skin	EFT-400-7A	whole tissue	Roseomonas_62_3	Roseomonas sp. AF061_002	Human	8173410	621179160	2020-02-18	2020-02-18
NCBI	pda|zudockk1	SRS6153199	SAMN14118299	Roseomonas_62_D	Homo sapiens	9606	Homo sapiens	human	SRP249658	SRX7732821	SRR11094005	SRA1043354	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS6153199&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS6153199&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	EpiDerm FT	not applicable	MatTek Corporation200 Homer AveAshland, MA 01721https://www.mattek.com/	not applicable	Skin	EFT-400-7A	whole tissue	Roseomonas_62_4	Roseomonas sp. AF061_002	Human	9725401	739130476	2020-02-18	2020-02-18
NCBI	pda|zudockk1	SRS6153200	SAMN14118300	Roseomonas_62_E	Homo sapiens	9606	Homo sapiens	human	SRP249658	SRX7732822	SRR11094004	SRA1043354	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS6153200&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS6153200&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	EpiDerm FT	not applicable	MatTek Corporation200 Homer AveAshland, MA 01721https://www.mattek.com/	not applicable	Skin	EFT-400-7A	whole tissue	Roseomonas_62_5	Roseomonas sp. AF061_002	Human	9646702	733149352	2020-02-18	2020-02-18
NCBI	pda|zudockk1	SRS6153201	SAMN14118301	Acinetobacter_80_A	Homo sapiens	9606	Homo sapiens	human	SRP249658	SRX7732823	SRR11094003	SRA1043354	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS6153201&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS6153201&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	EpiDerm FT	not applicable	MatTek Corporation200 Homer AveAshland, MA 01721https://www.mattek.com/	not applicable	Skin	EFT-400-7A	whole tissue	Acinetobacter_80_1	Acinetobacter sp. AM066_105	Human	9897055	752176180	2020-02-18	2020-02-18
NCBI	pda|zudockk1	SRS6153202	SAMN14118302	Acinetobacter_80_B	Homo sapiens	9606	Homo sapiens	human	SRP249658	SRX7732824	SRR11094002	SRA1043354	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS6153202&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS6153202&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	EpiDerm FT	not applicable	MatTek Corporation200 Homer AveAshland, MA 01721https://www.mattek.com/	not applicable	Skin	EFT-400-7A	whole tissue	Acinetobacter_80_2	Acinetobacter sp. AM066_105	Human	12974370	986052120	2020-02-18	2020-02-18
NCBI	pda|zudockk1	SRS6153203	SAMN14118303	Acinetobacter_80_C	Homo sapiens	9606	Homo sapiens	human	SRP249658	SRX7732825	SRR11094001	SRA1043354	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS6153203&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS6153203&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	EpiDerm FT	not applicable	MatTek Corporation200 Homer AveAshland, MA 01721https://www.mattek.com/	not applicable	Skin	EFT-400-7A	whole tissue	Acinetobacter_80_3	Acinetobacter sp. AM066_105	Human	10910113	829168588	2020-02-18	2020-02-18
NCBI	pda|zudockk1	SRS6153204	SAMN14118304	Acinetobacter_80_D	Homo sapiens	9606	Homo sapiens	human	SRP249658	SRX7732826	SRR11094000	SRA1043354	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS6153204&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS6153204&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	EpiDerm FT	not applicable	MatTek Corporation200 Homer AveAshland, MA 01721https://www.mattek.com/	not applicable	Skin	EFT-400-7A	whole tissue	Acinetobacter_80_4	Acinetobacter sp. AM066_105	Human	8719595	662689220	2020-02-18	2020-02-18
NCBI	pda|zudockk1	SRS6153205	SAMN14118305	Acinetobacter_80_E	Homo sapiens	9606	Homo sapiens	human	SRP249658	SRX7732827	SRR11093999	SRA1043354	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS6153205&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS6153205&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	EpiDerm FT	not applicable	MatTek Corporation200 Homer AveAshland, MA 01721https://www.mattek.com/	not applicable	Skin	EFT-400-7A	whole tissue	Acinetobacter_80_5	Acinetobacter sp. AM066_105	Human	9547893	725639868	2020-02-18	2020-02-18
NCBI	pda|zudockk1	SRS6153207	SAMN14118306	Micrococcus_42_A	Homo sapiens	9606	Homo sapiens	human	SRP249658	SRX7732829	SRR11093997	SRA1043354	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS6153207&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS6153207&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	EpiDerm FT	not applicable	MatTek Corporation200 Homer AveAshland, MA 01721https://www.mattek.com/	not applicable	Skin	EFT-400-7A	whole tissue	Micrococcus_42_1	Micrococcus sp. AF054_004	Human	8700314	661223864	2020-02-18	2020-02-18
NCBI	pda|zudockk1	SRS6153208	SAMN14118307	Micrococcus_42_B	Homo sapiens	9606	Homo sapiens	human	SRP249658	SRX7732830	SRR11093996	SRA1043354	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS6153208&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS6153208&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	EpiDerm FT	not applicable	MatTek Corporation200 Homer AveAshland, MA 01721https://www.mattek.com/	not applicable	Skin	EFT-400-7A	whole tissue	Micrococcus_42_2	Micrococcus sp. AF054_004	Human	10168835	772831460	2020-02-18	2020-02-18
NCBI	pda|zudockk1	SRS6153209	SAMN14118308	Micrococcus_42_C	Homo sapiens	9606	Homo sapiens	human	SRP249658	SRX7732831	SRR11093995	SRA1043354	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS6153209&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS6153209&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	EpiDerm FT	not applicable	MatTek Corporation200 Homer AveAshland, MA 01721https://www.mattek.com/	not applicable	Skin	EFT-400-7A	whole tissue	Micrococcus_42_3	Micrococcus sp. AF054_004	Human	8383097	637115372	2020-02-18	2020-02-18
NCBI	pda|zudockk1	SRS6153210	SAMN14118309	Micrococcus_42_D	Homo sapiens	9606	Homo sapiens	human	SRP249658	SRX7732832	SRR11093994	SRA1043354	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS6153210&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS6153210&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	EpiDerm FT	not applicable	MatTek Corporation200 Homer AveAshland, MA 01721https://www.mattek.com/	not applicable	Skin	EFT-400-7A	whole tissue	Micrococcus_42_4	Micrococcus sp. AF054_004	Human	13300606	1010846056	2020-02-18	2020-02-18
NCBI	pda|zudockk1	SRS6153211	SAMN14118310	Micrococcus_42_E	Homo sapiens	9606	Homo sapiens	human	SRP249658	SRX7732833	SRR11093993	SRA1043354	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS6153211&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS6153211&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	EpiDerm FT	not applicable	MatTek Corporation200 Homer AveAshland, MA 01721https://www.mattek.com/	not applicable	Skin	EFT-400-7A	whole tissue	Micrococcus_42_5	Micrococcus sp. AF054_004	Human	8571810	651457560	2020-02-18	2020-02-18
NCBI	pda|zudockk1	SRS6153212	SAMN14118311	Paenibacillus_49_A	Homo sapiens	9606	Homo sapiens	human	SRP249658	SRX7732834	SRR11093992	SRA1043354	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS6153212&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS6153212&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	EpiDerm FT	not applicable	MatTek Corporation200 Homer AveAshland, MA 01721https://www.mattek.com/	not applicable	Skin	EFT-400-7A	whole tissue	Paenibacillus_49_1	Paenibacillus sp. FM060_005	Human	11217049	852495724	2020-02-18	2020-02-18
NCBI	pda|zudockk1	SRS6153213	SAMN14118312	Paenibacillus_49_B	Homo sapiens	9606	Homo sapiens	human	SRP249658	SRX7732835	SRR11093991	SRA1043354	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS6153213&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS6153213&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	EpiDerm FT	not applicable	MatTek Corporation200 Homer AveAshland, MA 01721https://www.mattek.com/	not applicable	Skin	EFT-400-7A	whole tissue	Paenibacillus_49_2	Paenibacillus sp. FM060_005	Human	12066098	917023448	2020-02-18	2020-02-18
NCBI	pda|zudockk1	SRS6153214	SAMN14118313	Paenibacillus_49_C	Homo sapiens	9606	Homo sapiens	human	SRP249658	SRX7732836	SRR11093990	SRA1043354	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS6153214&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS6153214&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	EpiDerm FT	not applicable	MatTek Corporation200 Homer AveAshland, MA 01721https://www.mattek.com/	not applicable	Skin	EFT-400-7A	whole tissue	Paenibacillus_49_3	Paenibacillus sp. FM060_005	Human	8524607	647870132	2020-02-18	2020-02-18
NCBI	pda|zudockk1	SRS6153215	SAMN14118314	Paenibacillus_49_D	Homo sapiens	9606	Homo sapiens	human	SRP249658	SRX7732837	SRR11093989	SRA1043354	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS6153215&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS6153215&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	EpiDerm FT	not applicable	MatTek Corporation200 Homer AveAshland, MA 01721https://www.mattek.com/	not applicable	Skin	EFT-400-7A	whole tissue	Paenibacillus_49_4	Paenibacillus sp. FM060_005	Human	9854093	748911068	2020-02-18	2020-02-18
NCBI	pda|zudockk1	SRS6153216	SAMN14118315	Paenibacillus_49_E	Homo sapiens	9606	Homo sapiens	human	SRP249658	SRX7732838	SRR11093988	SRA1043354	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS6153216&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS6153216&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	EpiDerm FT	not applicable	MatTek Corporation200 Homer AveAshland, MA 01721https://www.mattek.com/	not applicable	Skin	EFT-400-7A	whole tissue	Paenibacillus_49_5	Paenibacillus sp. FM060_005	Human	9152914	695621464	2020-02-18	2020-02-18
NCBI	pda|zudockk1	SRS6153218	SAMN14118316	Corynebactium_19_A	Homo sapiens	9606	Homo sapiens	human	SRP249658	SRX7732840	SRR11093986	SRA1043354	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS6153218&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS6153218&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	EpiDerm FT	not applicable	MatTek Corporation200 Homer AveAshland, MA 01721https://www.mattek.com/	not applicable	Skin	EFT-400-7A	whole tissue	Corynebactium_19_1	Corynebacterium sp. AM066_013	Human	10701914	813345464	2020-02-18	2020-02-18
NCBI	pda|zudockk1	SRS6153219	SAMN14118317	Corynebactium_19_B	Homo sapiens	9606	Homo sapiens	human	SRP249658	SRX7732841	SRR11093985	SRA1043354	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS6153219&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS6153219&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	EpiDerm FT	not applicable	MatTek Corporation200 Homer AveAshland, MA 01721https://www.mattek.com/	not applicable	Skin	EFT-400-7A	whole tissue	Corynebactium_19_2	Corynebacterium sp. AM066_013	Human	9436838	717199688	2020-02-18	2020-02-18
NCBI	pda|zudockk1	SRS6153221	SAMN14118318	Corynebactium_19_C	Homo sapiens	9606	Homo sapiens	human	SRP249658	SRX7732842	SRR11093984	SRA1043354	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS6153221&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS6153221&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	EpiDerm FT	not applicable	MatTek Corporation200 Homer AveAshland, MA 01721https://www.mattek.com/	not applicable	Skin	EFT-400-7A	whole tissue	Corynebactium_19_3	Corynebacterium sp. AM066_013	Human	8986936	683007136	2020-02-18	2020-02-18
NCBI	pda|zudockk1	SRS6153220	SAMN14118319	Corynebactium_19_D	Homo sapiens	9606	Homo sapiens	human	SRP249658	SRX7732843	SRR11093983	SRA1043354	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS6153220&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS6153220&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	EpiDerm FT	not applicable	MatTek Corporation200 Homer AveAshland, MA 01721https://www.mattek.com/	not applicable	Skin	EFT-400-7A	whole tissue	Corynebactium_19_4	Corynebacterium sp. AM066_013	Human	13524098	1027831448	2020-02-18	2020-02-18
NCBI	pda|zudockk1	SRS6153222	SAMN14118320	Corynebactium_19_E	Homo sapiens	9606	Homo sapiens	human	SRP249658	SRX7732844	SRR11093982	SRA1043354	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS6153222&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS6153222&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	EpiDerm FT	not applicable	MatTek Corporation200 Homer AveAshland, MA 01721https://www.mattek.com/	not applicable	Skin	EFT-400-7A	whole tissue	Corynebactium_19_5	Corynebacterium sp. AM066_013	Human	8311947	631707972	2020-02-18	2020-02-18
NCBI	pda|zudockk1	SRS6153224	SAMN14118321	Bacillus_13_A	Homo sapiens	9606	Homo sapiens	human	SRP249658	SRX7732845	SRR11093981	SRA1043354	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS6153224&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS6153224&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	EpiDerm FT	not applicable	MatTek Corporation200 Homer AveAshland, MA 01721https://www.mattek.com/	not applicable	Skin	EFT-400-7A	whole tissue	Bacillus_13_1	Bacillus sp. AF054_003	Human	11653358	885655208	2020-02-18	2020-02-18
NCBI	pda|zudockk1	SRS6153223	SAMN14118322	Bacillus_13_B	Homo sapiens	9606	Homo sapiens	human	SRP249658	SRX7732846	SRR11093980	SRA1043354	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS6153223&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS6153223&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	EpiDerm FT	not applicable	MatTek Corporation200 Homer AveAshland, MA 01721https://www.mattek.com/	not applicable	Skin	EFT-400-7A	whole tissue	Bacillus_13_2	Bacillus sp. AF054_003	Human	12164653	924513628	2020-02-18	2020-02-18
