run_accession	secondary_study_accession	sample_accession	secondary_sample_accession	experiment_accession	study_accession	submission_accession	tax_id	scientific_name	instrument_platform	instrument_model	library_name	nominal_length	library_layout	library_strategy	library_source	library_selection	read_count	base_count	center_name	first_public	last_updated	experiment_title	study_title	study_alias	experiment_alias	run_alias	fastq_bytes	fastq_md5	fastq_ftp	fastq_aspera	fastq_galaxy	submitted_bytes	submitted_md5	submitted_ftp	submitted_aspera	submitted_galaxy	submitted_format	sra_bytes	sra_md5	sra_ftp	sra_aspera	sra_galaxy	sample_alias	broker_name	sample_title	nominal_sdev	first_created
SRR13348275	SRP300200	SAMN17209712	SRS7961654	SRX9774199	PRJNA689547	SRA1179876	1256227	indoor metagenome	ILLUMINA	Illumina MiSeq	S.191111.00054_93		PAIRED	AMPLICON	METAGENOMIC	PCR	69724	35001448	SUB8758289	2021-01-04	2021-01-04	Illumina MiSeq sequencing: 16S Sequencing of Patient and Environmental Microbiome within the Intensive Care Unit	Patient and Environmental Microbiome within the Intensive Care Unit	PRJNA689547	S.191111.00054_93	S.191111.00054_93_L001_R1_001.fastq.gz	5811218;5415443	f278007d87e467f8d65e484f88abbfc0;680df35b9eaff8b8c16af19be29d8717	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/075/SRR13348275/SRR13348275_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/075/SRR13348275/SRR13348275_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR133/075/SRR13348275/SRR13348275_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR133/075/SRR13348275/SRR13348275_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/075/SRR13348275/SRR13348275_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/075/SRR13348275/SRR13348275_2.fastq.gz							16079004	eb15a704c6a9ca25021ee98ab8b9328f	ftp.sra.ebi.ac.uk/vol1/srr/SRR133/075/SRR13348275	fasp.sra.ebi.ac.uk:/vol1/srr/SRR133/075/SRR13348275	ftp.sra.ebi.ac.uk/vol1/srr/SRR133/075/SRR13348275	S.191111.00054_93		MIMS Environmental/Metagenome sample from indoor metagenome		2021-01-04
SRR13348276	SRP300200	SAMN17209711	SRS7961653	SRX9774198	PRJNA689547	SRA1179876	1256227	indoor metagenome	ILLUMINA	Illumina MiSeq	S.191119.00280_104		PAIRED	AMPLICON	METAGENOMIC	PCR	30222	15171444	SUB8758289	2021-01-04	2021-01-04	Illumina MiSeq sequencing: 16S Sequencing of Patient and Environmental Microbiome within the Intensive Care Unit	Patient and Environmental Microbiome within the Intensive Care Unit	PRJNA689547	S.191119.00280_104	S.191119.00280_104_L001_R1_001.fastq.gz	2655494;2314707	b424b96987a974facb529a79ab088855;2331a70cc02fbf30ecc559cce4439bfd	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/076/SRR13348276/SRR13348276_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/076/SRR13348276/SRR13348276_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR133/076/SRR13348276/SRR13348276_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR133/076/SRR13348276/SRR13348276_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/076/SRR13348276/SRR13348276_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/076/SRR13348276/SRR13348276_2.fastq.gz							7059674	d1b843568f397303c85e7d7d9c79783d	ftp.sra.ebi.ac.uk/vol1/srr/SRR133/076/SRR13348276	fasp.sra.ebi.ac.uk:/vol1/srr/SRR133/076/SRR13348276	ftp.sra.ebi.ac.uk/vol1/srr/SRR133/076/SRR13348276	S.191119.00280_104		MIMS Environmental/Metagenome sample from indoor metagenome		2021-01-04
SRR13348282	SRP300200	SAMN17209706	SRS7961647	SRX9774192	PRJNA689547	SRA1179876	1256227	indoor metagenome	ILLUMINA	Illumina MiSeq	S.191109.00053_29		PAIRED	AMPLICON	METAGENOMIC	PCR	71241	35762982	SUB8758289	2021-01-04	2021-01-04	Illumina MiSeq sequencing: 16S Sequencing of Patient and Environmental Microbiome within the Intensive Care Unit	Patient and Environmental Microbiome within the Intensive Care Unit	PRJNA689547	S.191109.00053_29	S.191109.00053_29_L001_R1_001.fastq.gz	7126045;6549800	5d08c1714c8cfb7301f8eec3952a2b94;7e6450a927754bf9fa5925c6fb67da67	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/082/SRR13348282/SRR13348282_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/082/SRR13348282/SRR13348282_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR133/082/SRR13348282/SRR13348282_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR133/082/SRR13348282/SRR13348282_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/082/SRR13348282/SRR13348282_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/082/SRR13348282/SRR13348282_2.fastq.gz							17761055	b61b7c7624ddd44a5795a0bcb420d538	ftp.sra.ebi.ac.uk/vol1/srr/SRR133/082/SRR13348282	fasp.sra.ebi.ac.uk:/vol1/srr/SRR133/082/SRR13348282	ftp.sra.ebi.ac.uk/vol1/srr/SRR133/082/SRR13348282	S.191109.00053_29		MIMS Environmental/Metagenome sample from indoor metagenome		2021-01-04
SRR13348284	SRP300200	SAMN17209704	SRS7961646	SRX9774190	PRJNA689547	SRA1179876	1256227	indoor metagenome	ILLUMINA	Illumina MiSeq	S.191108.00853_181		PAIRED	AMPLICON	METAGENOMIC	PCR	1	502	SUB8758289	2021-01-04	2021-01-04	Illumina MiSeq sequencing: 16S Sequencing of Patient and Environmental Microbiome within the Intensive Care Unit	Patient and Environmental Microbiome within the Intensive Care Unit	PRJNA689547	S.191108.00853_181	S.191108.00853_181_L001_R1_001.fastq.gz	237;255	1f814175ccdf7e9bd5e7b56e39a76416;d2dba239b14697b3f86a01dc591a8f80	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/084/SRR13348284/SRR13348284_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/084/SRR13348284/SRR13348284_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR133/084/SRR13348284/SRR13348284_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR133/084/SRR13348284/SRR13348284_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/084/SRR13348284/SRR13348284_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/084/SRR13348284/SRR13348284_2.fastq.gz							78363	d5d8cb41dd34fb03a1986f05065b4fd4	ftp.sra.ebi.ac.uk/vol1/srr/SRR133/084/SRR13348284	fasp.sra.ebi.ac.uk:/vol1/srr/SRR133/084/SRR13348284	ftp.sra.ebi.ac.uk/vol1/srr/SRR133/084/SRR13348284	S.191108.00853_181		MIMS Environmental/Metagenome sample from indoor metagenome		2021-01-04
SRR13348285	SRP300200	SAMN17209703	SRS7961645	SRX9774189	PRJNA689547	SRA1179876	1256227	indoor metagenome	ILLUMINA	Illumina MiSeq	S.191108.00846_171		PAIRED	AMPLICON	METAGENOMIC	PCR	2	1004	SUB8758289	2021-01-04	2021-01-04	Illumina MiSeq sequencing: 16S Sequencing of Patient and Environmental Microbiome within the Intensive Care Unit	Patient and Environmental Microbiome within the Intensive Care Unit	PRJNA689547	S.191108.00846_171	S.191108.00846_171_L001_R1_001.fastq.gz	491;493	2eb017e1cf014c5e1206fa6e877fda64;9736fa84b5a474a7908c9a87587921db	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/085/SRR13348285/SRR13348285_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/085/SRR13348285/SRR13348285_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR133/085/SRR13348285/SRR13348285_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR133/085/SRR13348285/SRR13348285_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/085/SRR13348285/SRR13348285_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/085/SRR13348285/SRR13348285_2.fastq.gz							80851	ff021ceef5c27a4b515ba6a4aa92faa4	ftp.sra.ebi.ac.uk/vol1/srr/SRR133/085/SRR13348285	fasp.sra.ebi.ac.uk:/vol1/srr/SRR133/085/SRR13348285	ftp.sra.ebi.ac.uk/vol1/srr/SRR133/085/SRR13348285	S.191108.00846_171		MIMS Environmental/Metagenome sample from indoor metagenome		2021-01-04
SRR13348286	SRP300200	SAMN17209701	SRS7961642	SRX9774187	PRJNA689547	SRA1179876	1256227	indoor metagenome	ILLUMINA	Illumina MiSeq	S.191119.00074_97		PAIRED	AMPLICON	METAGENOMIC	PCR	51138	25671276	SUB8758289	2021-01-04	2021-01-04	Illumina MiSeq sequencing: 16S Sequencing of Patient and Environmental Microbiome within the Intensive Care Unit	Patient and Environmental Microbiome within the Intensive Care Unit	PRJNA689547	S.191119.00074_97	S.191119.00074_97_L001_R1_001.fastq.gz	5237222;4909922	4a930771588ac223ef796099c2abbe54;fdcfb2b94fe1705a6d878967e0d2810b	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/086/SRR13348286/SRR13348286_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/086/SRR13348286/SRR13348286_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR133/086/SRR13348286/SRR13348286_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR133/086/SRR13348286/SRR13348286_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/086/SRR13348286/SRR13348286_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/086/SRR13348286/SRR13348286_2.fastq.gz							12470219	05f91fc88b0ae98cc002c099924af36e	ftp.sra.ebi.ac.uk/vol1/srr/SRR133/086/SRR13348286	fasp.sra.ebi.ac.uk:/vol1/srr/SRR133/086/SRR13348286	ftp.sra.ebi.ac.uk/vol1/srr/SRR133/086/SRR13348286	S.191119.00074_97		MIMS Environmental/Metagenome sample from indoor metagenome		2021-01-04
SRR13348288	SRP300200	SAMN17209502	SRS7961641	SRX9774185	PRJNA689547	SRA1179876	1131769	human nasopharyngeal metagenome	ILLUMINA	Illumina MiSeq	S.191122.00146_13		PAIRED	AMPLICON	METAGENOMIC	PCR	87913	44132326	SUB8758289	2021-01-04	2021-01-04	Illumina MiSeq sequencing: 16S Sequencing of Patient and Environmental Microbiome within the Intensive Care Unit	Patient and Environmental Microbiome within the Intensive Care Unit	PRJNA689547	S.191122.00146_13	S.191122.00146_13_L001_R1_001.fastq.gz	8260963;7707950	66a0794a82f4f3833aba10db8d532567;d1aa1b93db3dc9cb47225b25eb4fa70c	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/088/SRR13348288/SRR13348288_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/088/SRR13348288/SRR13348288_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR133/088/SRR13348288/SRR13348288_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR133/088/SRR13348288/SRR13348288_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/088/SRR13348288/SRR13348288_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/088/SRR13348288/SRR13348288_2.fastq.gz							21996973	6c22193efba1a09802e47739b765de7e	ftp.sra.ebi.ac.uk/vol1/srr/SRR133/088/SRR13348288	fasp.sra.ebi.ac.uk:/vol1/srr/SRR133/088/SRR13348288	ftp.sra.ebi.ac.uk/vol1/srr/SRR133/088/SRR13348288	S.191122.00146_13		MIMS Environmental/Metagenome sample from human nasopharyngeal metagenome		2021-01-04
SRR13348295	SRP300200	SAMN17209694	SRS7961632	SRX9774179	PRJNA689547	SRA1179876	1256227	indoor metagenome	ILLUMINA	Illumina MiSeq	S.191119.00060_23		PAIRED	AMPLICON	METAGENOMIC	PCR	52741	26475982	SUB8758289	2021-01-04	2021-01-04	Illumina MiSeq sequencing: 16S Sequencing of Patient and Environmental Microbiome within the Intensive Care Unit	Patient and Environmental Microbiome within the Intensive Care Unit	PRJNA689547	S.191119.00060_23	S.191119.00060_23_L001_R1_001.fastq.gz	4979731;4895514	265bfe8fce5d2bac3ea0e64f803a78bd;3217d0e689156b18bab4fc4e84efd95f	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/095/SRR13348295/SRR13348295_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/095/SRR13348295/SRR13348295_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR133/095/SRR13348295/SRR13348295_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR133/095/SRR13348295/SRR13348295_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/095/SRR13348295/SRR13348295_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/095/SRR13348295/SRR13348295_2.fastq.gz							12903055	eeb7acb9f3be20555e2478ff3e4cf0ed	ftp.sra.ebi.ac.uk/vol1/srr/SRR133/095/SRR13348295	fasp.sra.ebi.ac.uk:/vol1/srr/SRR133/095/SRR13348295	ftp.sra.ebi.ac.uk/vol1/srr/SRR133/095/SRR13348295	S.191119.00060_23		MIMS Environmental/Metagenome sample from indoor metagenome		2021-01-04
SRR13348297	SRP300200	SAMN17209692	SRS7961634	SRX9774177	PRJNA689547	SRA1179876	1256227	indoor metagenome	ILLUMINA	Illumina MiSeq	S.191119.00056_112		PAIRED	AMPLICON	METAGENOMIC	PCR	59778	30008556	SUB8758289	2021-01-04	2021-01-04	Illumina MiSeq sequencing: 16S Sequencing of Patient and Environmental Microbiome within the Intensive Care Unit	Patient and Environmental Microbiome within the Intensive Care Unit	PRJNA689547	S.191119.00056_112	S.191119.00056_112_L001_R1_001.fastq.gz	6277300;5806868	c691575438045c444066f4391b3fa88a;b4d75e6a461b3a66a7be4551260b14a7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/097/SRR13348297/SRR13348297_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/097/SRR13348297/SRR13348297_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR133/097/SRR13348297/SRR13348297_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR133/097/SRR13348297/SRR13348297_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/097/SRR13348297/SRR13348297_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/097/SRR13348297/SRR13348297_2.fastq.gz							15201030	382b57954fc7e07a65dabe1b2bc57dc4	ftp.sra.ebi.ac.uk/vol1/srr/SRR133/097/SRR13348297	fasp.sra.ebi.ac.uk:/vol1/srr/SRR133/097/SRR13348297	ftp.sra.ebi.ac.uk/vol1/srr/SRR133/097/SRR13348297	S.191119.00056_112		MIMS Environmental/Metagenome sample from indoor metagenome		2021-01-04
SRR13348301	SRP300200	SAMN17209688	SRS7961627	SRX9774172	PRJNA689547	SRA1179876	1256227	indoor metagenome	ILLUMINA	Illumina MiSeq	S.191107.00693_80		PAIRED	AMPLICON	METAGENOMIC	PCR	64016	32136032	SUB8758289	2021-01-04	2021-01-04	Illumina MiSeq sequencing: 16S Sequencing of Patient and Environmental Microbiome within the Intensive Care Unit	Patient and Environmental Microbiome within the Intensive Care Unit	PRJNA689547	S.191107.00693_80	S.191107.00693_80_L001_R1_001.fastq.gz	6863396;6415115	b55e1187ef118000374b873d1874745f;fa236f14a4b1f1e8318afff448eaab30	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/001/SRR13348301/SRR13348301_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/001/SRR13348301/SRR13348301_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR133/001/SRR13348301/SRR13348301_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR133/001/SRR13348301/SRR13348301_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/001/SRR13348301/SRR13348301_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/001/SRR13348301/SRR13348301_2.fastq.gz							16469235	956b671863eb990d90318ce9935ba3f0	ftp.sra.ebi.ac.uk/vol1/srr/SRR133/001/SRR13348301	fasp.sra.ebi.ac.uk:/vol1/srr/SRR133/001/SRR13348301	ftp.sra.ebi.ac.uk/vol1/srr/SRR133/001/SRR13348301	S.191107.00693_80		MIMS Environmental/Metagenome sample from indoor metagenome		2021-01-04
SRR13348307	SRP300200	SAMN17209682	SRS7961621	SRX9774166	PRJNA689547	SRA1179876	1256227	indoor metagenome	ILLUMINA	Illumina MiSeq	S.191105.00088_145		PAIRED	AMPLICON	METAGENOMIC	PCR	44549	22363598	SUB8758289	2021-01-04	2021-01-04	Illumina MiSeq sequencing: 16S Sequencing of Patient and Environmental Microbiome within the Intensive Care Unit	Patient and Environmental Microbiome within the Intensive Care Unit	PRJNA689547	S.191105.00088_145	S.191105.00088_145_L001_R1_001.fastq.gz	4619666;4557172	1299b53ad29331640bc5e2a8c90c4a3c;213d9df55593c5812c8afccac8223a38	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/007/SRR13348307/SRR13348307_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/007/SRR13348307/SRR13348307_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR133/007/SRR13348307/SRR13348307_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR133/007/SRR13348307/SRR13348307_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/007/SRR13348307/SRR13348307_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/007/SRR13348307/SRR13348307_2.fastq.gz							11416004	83f513410fe21f12e16fdd587c9770e8	ftp.sra.ebi.ac.uk/vol1/srr/SRR133/007/SRR13348307	fasp.sra.ebi.ac.uk:/vol1/srr/SRR133/007/SRR13348307	ftp.sra.ebi.ac.uk/vol1/srr/SRR133/007/SRR13348307	S.191105.00088_145		MIMS Environmental/Metagenome sample from indoor metagenome		2021-01-04
SRR13348314	SRP300200	SAMN17209678	SRS7961614	SRX9774160	PRJNA689547	SRA1179876	1256227	indoor metagenome	ILLUMINA	Illumina MiSeq	S.191117.00100_96		PAIRED	AMPLICON	METAGENOMIC	PCR	69084	34680168	SUB8758289	2021-01-04	2021-01-04	Illumina MiSeq sequencing: 16S Sequencing of Patient and Environmental Microbiome within the Intensive Care Unit	Patient and Environmental Microbiome within the Intensive Care Unit	PRJNA689547	S.191117.00100_96	S.191117.00100_96_L001_R1_001.fastq.gz	6543472;5946918	ed7c4b57ccc73c9b5f286ec736a19a88;ff9228bef6281f36ccb87b78a27f9b39	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/014/SRR13348314/SRR13348314_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/014/SRR13348314/SRR13348314_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR133/014/SRR13348314/SRR13348314_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR133/014/SRR13348314/SRR13348314_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/014/SRR13348314/SRR13348314_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/014/SRR13348314/SRR13348314_2.fastq.gz							16854724	617c11324dfbb253cfa1c23465093518	ftp.sra.ebi.ac.uk/vol1/srr/SRR133/014/SRR13348314	fasp.sra.ebi.ac.uk:/vol1/srr/SRR133/014/SRR13348314	ftp.sra.ebi.ac.uk/vol1/srr/SRR133/014/SRR13348314	S.191117.00100_96		MIMS Environmental/Metagenome sample from indoor metagenome		2021-01-04
SRR13348321	SRP300200	SAMN17209671	SRS7961607	SRX9774153	PRJNA689547	SRA1179876	1256227	indoor metagenome	ILLUMINA	Illumina MiSeq	S.191219.00242_178		PAIRED	AMPLICON	METAGENOMIC	PCR	4239	2127978	SUB8758289	2021-01-04	2021-01-04	Illumina MiSeq sequencing: 16S Sequencing of Patient and Environmental Microbiome within the Intensive Care Unit	Patient and Environmental Microbiome within the Intensive Care Unit	PRJNA689547	S.191219.00242_178	S.191219.00242_178_L001_R1_001.fastq.gz	489275;479720	0d7f5141c8c733bbbd90f1d9e88de9a0;3c75523f80d2c8046ecc70df1e4329c7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/021/SRR13348321/SRR13348321_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/021/SRR13348321/SRR13348321_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR133/021/SRR13348321/SRR13348321_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR133/021/SRR13348321/SRR13348321_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/021/SRR13348321/SRR13348321_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/021/SRR13348321/SRR13348321_2.fastq.gz							1201454	a585c21c9fc710d02689e9e1b2695f80	ftp.sra.ebi.ac.uk/vol1/srr/SRR133/021/SRR13348321	fasp.sra.ebi.ac.uk:/vol1/srr/SRR133/021/SRR13348321	ftp.sra.ebi.ac.uk/vol1/srr/SRR133/021/SRR13348321	S.191219.00242_178		MIMS Environmental/Metagenome sample from indoor metagenome		2021-01-04
SRR13348322	SRP300200	SAMN17209670	SRS7961609	SRX9774152	PRJNA689547	SRA1179876	1256227	indoor metagenome	ILLUMINA	Illumina MiSeq	S.191219.00241_100		PAIRED	AMPLICON	METAGENOMIC	PCR	1166	585332	SUB8758289	2021-01-04	2021-01-04	Illumina MiSeq sequencing: 16S Sequencing of Patient and Environmental Microbiome within the Intensive Care Unit	Patient and Environmental Microbiome within the Intensive Care Unit	PRJNA689547	S.191219.00241_100	S.191219.00241_100_L001_R1_001.fastq.gz	148288;146519	8acd0ddd76e4c6e28bb0d9be7d9a252f;dbdb351da18ac0f1adb579fec6c21c98	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/022/SRR13348322/SRR13348322_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/022/SRR13348322/SRR13348322_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR133/022/SRR13348322/SRR13348322_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR133/022/SRR13348322/SRR13348322_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/022/SRR13348322/SRR13348322_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/022/SRR13348322/SRR13348322_2.fastq.gz							433969	df0178e99a0adef71e11b4c5e2dd73ed	ftp.sra.ebi.ac.uk/vol1/srr/SRR133/022/SRR13348322	fasp.sra.ebi.ac.uk:/vol1/srr/SRR133/022/SRR13348322	ftp.sra.ebi.ac.uk/vol1/srr/SRR133/022/SRR13348322	S.191219.00241_100		MIMS Environmental/Metagenome sample from indoor metagenome		2021-01-04
SRR13348327	SRP300200	SAMN17209666	SRS7961602	SRX9774147	PRJNA689547	SRA1179876	1256227	indoor metagenome	ILLUMINA	Illumina MiSeq	S.191219.00237_159		PAIRED	AMPLICON	METAGENOMIC	PCR	3231	1621962	SUB8758289	2021-01-04	2021-01-04	Illumina MiSeq sequencing: 16S Sequencing of Patient and Environmental Microbiome within the Intensive Care Unit	Patient and Environmental Microbiome within the Intensive Care Unit	PRJNA689547	S.191219.00237_159	S.191219.00237_159_L001_R1_001.fastq.gz	315699;370835	4d35522ffca2fd14f0466f29b2d1d739;ae90265a861fb681682618f21b7b25fe	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/027/SRR13348327/SRR13348327_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/027/SRR13348327/SRR13348327_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR133/027/SRR13348327/SRR13348327_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR133/027/SRR13348327/SRR13348327_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/027/SRR13348327/SRR13348327_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/027/SRR13348327/SRR13348327_2.fastq.gz							963759	3f36c9643106e32cc870c906e7a66ce3	ftp.sra.ebi.ac.uk/vol1/srr/SRR133/027/SRR13348327	fasp.sra.ebi.ac.uk:/vol1/srr/SRR133/027/SRR13348327	ftp.sra.ebi.ac.uk/vol1/srr/SRR133/027/SRR13348327	S.191219.00237_159		MIMS Environmental/Metagenome sample from indoor metagenome		2021-01-04
SRR13348330	SRP300200	SAMN17209663	SRS7961600	SRX9774144	PRJNA689547	SRA1179876	256318	metagenome	ILLUMINA	Illumina MiSeq	S.191220.00911_42		PAIRED	AMPLICON	METAGENOMIC	PCR	59825	30032150	SUB8758289	2021-01-04	2021-01-04	Illumina MiSeq sequencing: 16S Sequencing of Patient and Environmental Microbiome within the Intensive Care Unit	Patient and Environmental Microbiome within the Intensive Care Unit	PRJNA689547	S.191220.00911_42	S.191220.00911_42_L001_R1_001.fastq.gz	5801744;6145397	f3abda559813b5ccec9c2307f4f20729;b7354161da068b3c6ef396fb56918753	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/030/SRR13348330/SRR13348330_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/030/SRR13348330/SRR13348330_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR133/030/SRR13348330/SRR13348330_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR133/030/SRR13348330/SRR13348330_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/030/SRR13348330/SRR13348330_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/030/SRR13348330/SRR13348330_2.fastq.gz							15792613	00e655ec7e65d373641cc948672d2225	ftp.sra.ebi.ac.uk/vol1/srr/SRR133/030/SRR13348330	fasp.sra.ebi.ac.uk:/vol1/srr/SRR133/030/SRR13348330	ftp.sra.ebi.ac.uk/vol1/srr/SRR133/030/SRR13348330	S.191220.00911_42		MIMS Environmental/Metagenome sample from metagenome		2021-01-04
